Number of HBO and HBO Max subscribers U.S. 2019-2021,
Number of HBO and HBO Max subscribers in the United States from 4th quarter 2019 to 2nd quarter 2021 (in millions),
,
December 2015,0.8
March 2016,1
February 2017*,2
February 2018,5
February 2019**,8
Q4 2019,34.6
Q2 2020,36.3
Q3 2020,38
Q4 2020,41.5
Q1 2021,44.2
Q2 2021,47
,
"Please note that the grayed-out values may slightly differ from the respective values at the source, since the latter may have been recalculated.",
