Apple,Disney+,Genres,HBO,Hulu,IMDb,Netflix,Prime Video,Rotten Tomatoes,Title,Year,_id
false,false,Biography,false,false,7.4,true,false,78,Miles Davis: Birth of the Cool,2019,616528458a2fde8299a2ab63
false,false,Documentary,false,false,7.1,true,false,78,Screwball,2019,616528458a2fde8299a2ab65
false,false,"Action,Adventure,Fantasy,Thriller",false,false,6.7,true,false,78,The Old Guard,2020,616528458a2fde8299a2ab66
false,false,"Documentary,Crime",false,false,7.1,true,false,77,Roll Red Roll,2019,616528458a2fde8299a2ab77
false,false,"Action,Adventure,Crime,Drama,Mystery",false,false,6.6,true,false,77,Enola Holmes,2020,616528458a2fde8299a2ab78
false,false,Drama,false,false,8.2,true,false,77,Miracle in Cell No. 7,2019,616528458a2fde8299a2ab7c
false,false,Documentary,false,false,7.3,true,false,77,Trixie Mattel: Moving Parts,2019,616528458a2fde8299a2ab7e
false,false,Drama,false,false,7.1,true,false,77,Evelyn,2019,616528458a2fde8299a2ab80
false,false,"Crime,Mystery,Sci-Fi,Thriller",false,false,6.2,true,false,77,In the Shadow of the Moon,2019,616528458a2fde8299a2ab82
false,false,"Action,Comedy,Crime,Mystery,Romance",false,false,6,true,false,76,Murder Mystery,2019,616528458a2fde8299a2ab8d
false,false,"Comedy,Drama",false,false,7.6,true,false,76,The Two Popes,2019,616528458a2fde8299a2ab98
false,false,"Action,Adventure,Sci-Fi,Thriller",false,false,6,true,false,76,The Wandering Earth,2019,616528458a2fde8299a2ab99
false,false,Thriller,false,false,6.6,true,false,76,Eye for an Eye,2019,616528458a2fde8299a2ab9b
false,false,"Action,Thriller",false,false,6.1,true,false,75,6 Underground,2019,616528458a2fde8299a2aba9
false,false,Drama,false,false,6.3,true,false,75,Uncorked,2020,616528458a2fde8299a2abaa
false,false,"Action,Drama",false,false,7.3,true,false,75,Petta,2019,616528458a2fde8299a2abab
false,false,"Documentary,Crime",false,false,6.7,true,false,75,"Bikram: Yogi, Guru, Predator",2019,616528458a2fde8299a2abae
false,false,"Action,Thriller",false,false,6.4,true,false,75,Angel Has Fallen,2019,616528458a2fde8299a2abbd
false,false,"Drama,History,Thriller",false,false,6.6,true,false,75,The Red Sea Diving Resort,2019,616528458a2fde8299a2abc0
false,false,"Adventure,Comedy,Drama,Family,Romance,Sport",false,false,7.1,true,false,74,Game Over,2019,616528458a2fde8299a2abe3
false,false,"Documentary,Comedy",false,false,6.8,true,false,74,Have a Good Trip: Adventures in Psychedelics,2020,616528458a2fde8299a2abe5
false,false,"Drama,Music",false,false,6.5,true,false,74,"Nobody Knows I'm Here",2020,616528458a2fde8299a2abe8
false,false,"Biography,Comedy,Drama",false,false,6.9,true,false,74,Mank,2020,616528458a2fde8299a2abec
false,false,"Biography,Crime,Drama,Thriller",false,false,6.7,true,false,74,"Extremely Wicked, Shockingly Evil and Vile",2019,616528458a2fde8299a2abed
false,false,Comedy,false,false,6.1,true,false,74,Between Two Ferns: The Movie,2019,616528458a2fde8299a2abef
false,false,"Action,Crime,Thriller",false,false,6.2,true,false,73,Lost Bullet,2020,616528458a2fde8299a2abf6
false,false,"Crime,Drama",false,false,7.1,true,false,73,Soni,2019,616528458a2fde8299a2abf9
false,false,"Comedy,Romance",false,false,5.8,true,false,73,Let It Snow,2019,616528458a2fde8299a2abff
false,false,"Comedy,Horror",false,false,5.8,true,false,73,The Babysitter: Killer Queen,2020,616528458a2fde8299a2ac00
false,false,Documentary,false,false,6.9,true,false,73,Spelling the Dream,2020,616528458a2fde8299a2ac03
false,false,Documentary,false,false,7.1,true,false,73,Knock Down the House,2019,616528458a2fde8299a2ac04
false,false,"Action,Crime,Drama,Thriller",false,false,6.3,true,false,73,Polar,2019,616528458a2fde8299a2ac06
false,false,"Action,Comedy,Crime,Drama,Mystery,Thriller",false,false,6.2,true,false,73,Spenser Confidential,2020,616528458a2fde8299a2ac0a
false,false,"Biography,Crime,Drama,Mystery,Thriller",false,false,6.9,true,false,73,The Highwaymen,2019,616528458a2fde8299a2ac0f
false,false,"Comedy,Romance",false,false,6.1,true,false,73,Holidate,2020,616528458a2fde8299a2ac11
