Disney+,Genres,Hulu,IMDb,Netflix,Prime Video,Rotten Tomatoes,Runtime,Title,Year,_id
false,"Biography,Drama,Music,War",false,8.5,true,false,86,150,The Pianist,2002,6163fd7662fe85987e167b70
false,"Comedy,Drama",false,8.4,true,false,86,170,3 Idiots,2009,6163fd7662fe85987e167b71
false,"Comedy,Drama",false,7.5,true,false,86,118,The Distinguished Citizen,2016,6163fd7662fe85987e167b72
false,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi",false,6.8,true,false,86,86,A Shaun the Sheep Movie: Farmageddon,2019,6163fd7662fe85987e167b73
false,"Crime,Drama,Sci-Fi",false,8.3,true,false,86,136,A Clockwork Orange,1971,6163fd7662fe85987e167b74
false,"Action,Crime,Fantasy,Mystery,Sci-Fi,Thriller",false,6.9,true,false,86,123,What Happened to Monday,2017,6163fd7662fe85987e167b75
false,Comedy,false,7.8,true,false,86,59,Anthony Jeselnik: Thoughts and Prayers,2015,6163fd7662fe85987e167b76
false,"Documentary,Short,War",false,7.5,true,false,86,41,The White Helmets,2016,6163fd7662fe85987e167b77
false,"Animation,Action,Adventure,Comedy,Family,Sci-Fi",false,7.5,true,false,86,71,Invader ZIM: Enter the Florpus,2019,6163fd7662fe85987e167b78
false,"Drama,Fantasy,Mystery",false,7.5,true,false,85,128,Happy as Lazzaro,2018,6163fd7662fe85987e167b79
false,Documentary,false,8.1,true,false,85,93,Chasing Coral,2017,6163fd7662fe85987e167b7a
false,"Comedy,Drama,Musical,Romance",false,7.9,true,false,85,186,Kal Ho Naa Ho,2003,6163fd7662fe85987e167b7b
false,"Drama,Fantasy,War",false,8.2,true,false,85,118,"Pan's Labyrinth",2006,6163fd7662fe85987e167b7c
false,"Documentary,Biography,Crime,History,Sport",false,7.3,true,false,85,90,Team Foxcatcher,2016,6163fd7662fe85987e167b7d
false,"Comedy,Drama",false,6.9,true,false,85,112,The Meyerowitz Stories (New and Selected),2017,6163fd7662fe85987e167b7e
false,"Action,Adventure,Thriller",false,8,true,false,85,144,Casino Royale,2006,6163fd7662fe85987e167b7f
false,"Crime,Drama,Mystery,Thriller,Western",false,7.8,true,false,85,168,The Hateful Eight,2015,6163fd7662fe85987e167b80
false,"Action,Biography,Drama,Sport",false,8.1,true,false,84,123,Rush,2013,6163fd7662fe85987e167b81
false,"Adventure,Comedy,Fantasy,Horror,Sci-Fi",false,7.6,true,false,84,88,Zombieland,2009,6163fd7662fe85987e167b82
false,"Comedy,Music",false,6.5,true,false,84,123,Eurovision Song Contest: The Story of Fire Saga,2020,6163fd7662fe85987e167b83
false,"Comedy,Drama,Family,Romance",false,7.7,true,false,84,132,Kapoor & Sons,2016,6163fd7662fe85987e167b84
false,"Drama,Horror,Music,Thriller",false,6.2,true,false,84,90,The Perfection,2018,6163fd7662fe85987e167b85
false,Comedy,false,8.5,true,false,84,65,Dave Chappelle: Sticks & Stones,2019,6163fd7662fe85987e167b86
false,Drama,false,8.2,true,false,84,158,There Will Be Blood,2007,6163fd7662fe85987e167b87
false,"Drama,Sport",false,8.1,true,false,84,132,Million Dollar Baby,2004,6163fd7662fe85987e167b88
false,"Biography,Drama",true,7.7,true,false,84,120,The Social Network,2010,6163fd7662fe85987e167b89
false,"Adventure,Comedy,Family,Fantasy",false,7,true,false,84,104,The Christmas Chronicles,2018,6163fd7662fe85987e167b8a
false,"Adventure,Comedy,Fantasy",false,8.2,true,false,84,91,Monty Python and the Holy Grail,1975,6163fd7662fe85987e167b8b
false,Documentary,false,7.8,true,false,84,88,The Pixar Story,2007,6163fd7662fe85987e167b8c
false,"Drama,Music",false,7,true,false,84,94,"Ma Rainey's Black Bottom",2020,6163fd7662fe85987e167b8d
false,"Drama,Thriller",false,6.8,true,false,84,101,Calibre,2018,6163fd7662fe85987e167b8e
false,"Comedy,Drama,Romance",false,7.7,true,false,84,122,Silver Linings Playbook,2012,6163fd7662fe85987e167b8f
false,"Animation,Adventure,Comedy,Family,Fantasy,Musical,Sci-Fi",false,6.4,true,false,84,95,Over the Moon,2020,6163fd7662fe85987e167b90
false,"Documentary,Biography,Music",false,7.6,true,false,84,101,"What Happened, Miss Simone?",2015,6163fd7662fe85987e167b91
false,"Crime,Drama,Thriller",false,7.8,true,false,84,117,Nightcrawler,2014,6163fd7662fe85987e167b92
false,"Crime,Drama,Horror,Mystery,Thriller",false,6.3,true,false,84,102,1922,2017,6163fd7662fe85987e167b93
false,"Comedy,Drama",false,7.2,true,false,84,89,Paddleton,2019,6163fd7662fe85987e167b94
false,"Drama,Horror,Sci-Fi,Thriller",false,6.3,true,false,84,105,Cargo,2017,6163fd7662fe85987e167b95
false,Drama,false,8,true,false,83,133,Rain Man,1988,6163fd7662fe85987e167b96
false,Documentary,false,8.3,true,false,83,113,Cuba and the Cameraman,2017,6163fd7662fe85987e167b97
false,"Horror,Mystery,Thriller",false,6.3,true,false,83,94,The Ritual,2017,6163fd7662fe85987e167b98
false,"Drama,Thriller",false,7.1,true,false,83,135,The Hater,2020,6163fd7662fe85987e167b99
false,"Documentary,History",false,7.2,true,false,83,121,The Edge of Democracy,2019,6163fd7662fe85987e167b9a
false,"Crime,Drama,History,Thriller",false,6.8,true,false,83,143,22-Jul,2018,6163fd7662fe85987e167b9b
false,"Comedy,Music",false,7.6,true,false,83,73,Adam Sandler: 100% Fresh,2018,6163fd7662fe85987e167b9c
false,"Comedy,Drama",false,7.7,true,false,83,114,Guru,2007,6163fd7662fe85987e167b9d
false,"Biography,Crime,Drama,History",false,7.5,true,false,83,122,A Twelve-Year Night,2018,6163fd7662fe85987e167b9e
false,"Comedy,Drama",false,6.6,true,false,83,110,"Dumplin'",2018,6163fd7662fe85987e167b9f
false,"Horror,Mystery,Thriller",false,7.5,true,false,83,112,The Conjuring,2013,6163fd7662fe85987e167ba0
false,"Comedy,Drama,Romance",false,7.9,true,false,83,137,Marriage Story,2019,6163fd7662fe85987e167ba1
false,Documentary,false,8.1,true,false,83,85,My Octopus Teacher,2020,6163fd7662fe85987e167ba2
false,"Comedy,Drama,Fantasy,Romance,Sci-Fi",false,7.8,true,false,83,123,About Time,2013,6163fd7662fe85987e167ba3
false,"Animation,Adventure,Comedy,Family,Fantasy",true,7.6,true,false,83,81,Hey Arnold! The Jungle Movie,2017,6163fd7662fe85987e167ba4
false,"Animation,Action,Adventure,Comedy,Family",false,7.6,true,false,83,92,Kung Fu Panda,2008,6163fd7662fe85987e167ba5
false,Comedy,false,7.6,true,false,83,113,Superbad,2007,6163fd7662fe85987e167ba6
false,"Crime,Drama,Mystery,Thriller",false,8.1,true,false,83,106,The Invisible Guest,2016,6163fd7662fe85987e167ba7
false,"Drama,Mystery,Thriller",false,8.2,true,false,82,130,Chinatown,1974,6163fd7662fe85987e167ba8
false,"Crime,Drama,Mystery,Thriller",false,7.9,true,false,82,138,Mystic River,2003,6163fd7662fe85987e167ba9
false,"Biography,Drama,Romance",false,7.7,true,false,82,123,The Theory of Everything,2014,6163fd7662fe85987e167baa
false,"Documentary,Music",false,8.5,true,false,82,153,Springsteen On Broadway,2018,6163fd7662fe85987e167bab
false,Drama,false,6.8,true,false,82,94,The Life Ahead,2020,6163fd7662fe85987e167bac
false,"Comedy,Drama,Romance",false,7.4,true,true,82,128,The Terminal,2004,6163fd7662fe85987e167bad
false,"Action,Comedy,Fantasy,Romance",false,7.5,true,false,82,112,Scott Pilgrim vs. the World,2010,6163fd7662fe85987e167bae
false,Documentary,false,7.6,true,false,82,80,"Being Elmo: A Puppeteer's Journey",2011,6163fd7662fe85987e167baf
false,Comedy,false,8.1,true,false,82,94,Life of Brian,1979,6163fd7662fe85987e167bb0
false,"Biography,Drama,War",false,6.9,true,false,82,123,The Resistance Banker,2018,6163fd7662fe85987e167bb1
false,"Animation,Action,Adventure,Family,Fantasy",false,7.8,true,false,82,102,How to Train Your Dragon 2,2014,6163fd7662fe85987e167bb2
false,"Action,Drama,History,Thriller,War",false,7.2,true,false,82,147,The Endless Trench,2019,6163fd7662fe85987e167bb3
false,"Drama,History",false,7.4,true,false,82,103,Even the Rain,2010,6163fd7662fe85987e167bb4
false,"Comedy,Drama,Romance",false,7.6,true,false,82,135,Love Actually,2003,6163fd7662fe85987e167bb5
false,"Comedy,Drama,Romance",false,7.4,true,false,82,100,Dear Ex,2018,6163fd7662fe85987e167bb6
false,"Action,Thriller",false,5.9,true,false,82,94,Braven,2018,6163fd7662fe85987e167bb7
false,"Documentary,Short",false,7.4,true,false,82,26,Period. End of Sentence.,2018,6163fd7662fe85987e167bb8
false,"Comedy,Drama",false,7.9,true,false,82,118,Captain Fantastic,2016,6163fd7662fe85987e167bb9
false,Comedy,false,6.2,true,false,81,94,Veronica,2017,6163fd7662fe85987e167bba
false,"Action,Drama,History,Thriller,War",false,7.2,true,false,81,108,The Siege of Jadotville,2016,6163fd7662fe85987e167bbb
false,Documentary,false,7.2,true,false,81,104,Into the Inferno,2016,6163fd7662fe85987e167bbc
false,Comedy,false,8,true,false,81,79,Ricky Gervais: Humanity,2018,6163fd7662fe85987e167bbd
false,"Animation,Adventure,Family,Fantasy,Romance",false,6.7,true,false,81,104,A Whisker Away,2020,6163fd7662fe85987e167bbe
false,"Comedy,Drama",false,7.4,true,false,81,94,Lady Bird,2017,6163fd7662fe85987e167bbf
false,"Crime,Drama,Thriller",false,7.7,true,false,81,117,Road to Perdition,2002,6163fd7662fe85987e167bc0
false,Drama,false,7.9,true,false,81,155,Boogie Nights,1997,6163fd7662fe85987e167bc1
false,"Action,Sci-Fi,Thriller",false,7.5,true,false,81,113,Total Recall,1990,6163fd7662fe85987e167bc2
false,"Comedy,Drama,Music",false,8.8,true,false,81,87,Bo Burnham: Inside,2021,6163fd7662fe85987e167bc3
false,"Action,Drama,Sci-Fi,Thriller",false,7.1,true,false,81,60,Snowpiercer,2013,6163fd7662fe85987e167bc4
