Apple,Disney+,Genres,HBO,Hulu,IMDb,Netflix,Prime Video,Rotten Tomatoes,Title,Year,_id
false,false,"Action,Thriller",false,false,7,true,false,87,The Night Comes for Us,2018,6165e0ee8a2fde8299a2d234
false,false,"Comedy,Crime,Sport",false,false,8.1,true,false,87,The Big Lebowski,1998,6165e0ee8a2fde8299a2d235
false,false,"Comedy,Drama",false,false,7.9,true,false,87,Pad Man,2018,6165e0ee8a2fde8299a2d236
false,false,Documentary,false,false,7.4,true,false,86,American Factory,2019,6165e0ee8a2fde8299a2d237
false,false,"Horror,Sci-Fi",false,false,6.6,true,false,86,Bird Box,2018,6165e0ee8a2fde8299a2d238
false,false,"Biography,Drama,Music,War",false,false,8.5,true,false,86,The Pianist,2002,6165e0ee8a2fde8299a2d239
false,false,"Comedy,Drama",false,false,8.4,true,false,86,3 Idiots,2009,6165e0ee8a2fde8299a2d23a
false,false,"Comedy,Drama",false,false,7.5,true,false,86,The Distinguished Citizen,2016,6165e0ee8a2fde8299a2d23b
false,false,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi",false,false,6.8,true,false,86,A Shaun the Sheep Movie: Farmageddon,2019,6165e0ee8a2fde8299a2d23c
false,false,"Crime,Drama,Sci-Fi",false,false,8.3,true,false,86,A Clockwork Orange,1971,6165e0ee8a2fde8299a2d23d
false,false,"Action,Crime,Fantasy,Mystery,Sci-Fi,Thriller",false,false,6.9,true,false,86,What Happened to Monday,2017,6165e0ee8a2fde8299a2d23e
false,false,Comedy,false,false,7.8,true,false,86,Anthony Jeselnik: Thoughts and Prayers,2015,6165e0ee8a2fde8299a2d23f
false,false,"Documentary,Short,War",false,false,7.5,true,false,86,The White Helmets,2016,6165e0ee8a2fde8299a2d240
false,false,"Animation,Action,Adventure,Comedy,Family,Sci-Fi",false,false,7.5,true,false,86,Invader ZIM: Enter the Florpus,2019,6165e0ee8a2fde8299a2d241
false,false,"Drama,Fantasy,Mystery",false,false,7.5,true,false,85,Happy as Lazzaro,2018,6165e0ee8a2fde8299a2d242
false,false,Documentary,false,false,8.1,true,false,85,Chasing Coral,2017,6165e0ee8a2fde8299a2d243
false,false,"Comedy,Drama,Musical,Romance",false,false,7.9,true,false,85,Kal Ho Naa Ho,2003,6165e0ee8a2fde8299a2d244
false,false,"Drama,Fantasy,War",false,false,8.2,true,false,85,"Pan's Labyrinth",2006,6165e0ee8a2fde8299a2d245
false,false,"Documentary,Biography,Crime,History,Sport",false,false,7.3,true,false,85,Team Foxcatcher,2016,6165e0ee8a2fde8299a2d246
false,false,"Comedy,Drama",false,false,6.9,true,false,85,The Meyerowitz Stories (New and Selected),2017,6165e0ee8a2fde8299a2d247
false,false,"Action,Adventure,Thriller",false,false,8,true,false,85,Casino Royale,2006,6165e0ee8a2fde8299a2d248
false,false,"Crime,Drama,Mystery,Thriller,Western",false,false,7.8,true,false,85,The Hateful Eight,2015,6165e0ee8a2fde8299a2d249
false,false,"Action,Biography,Drama,Sport",false,false,8.1,true,false,84,Rush,2013,6165e0ee8a2fde8299a2d24a
false,false,"Adventure,Comedy,Fantasy,Horror,Sci-Fi",false,false,7.6,true,false,84,Zombieland,2009,6165e0ee8a2fde8299a2d24b
