Apple,Disney,Genres,HBO,Hulu,IMDb Rating,Netflix,Num Votes,Prime,Release Date,Title,Year,_id
false,0,"Action, Adventure, Crime, Drama, Fantasy, Sci-Fi",true,false,7.2,false,14043,false,5/18/2020,Stargirl,2020,61651abd8a2fde8299a2a9c3
false,0,"Action, Crime, Drama, Mystery, Romance, Thriller",false,false,7.6,true,36254,false,4/15/2020,Outer Banks,2020,61651abd8a2fde8299a2a9c4
,,"Drama, Fantasy, Horror, Sci-Fi",,,9.4,,715,,7/15/2020,The Sandman,2020,61651abd8a2fde8299a2a9c5
,,Comedy,,,6.3,,1959,,4/7/2021,Home Economics,2021,61651abd8a2fde8299a2a9c6
,,"Drama, Sport",,,8.1,,3330,,8/15/2021,Heels,2021,61651abd8a2fde8299a2a9c7
false,1,"Action, Comedy, Drama, Fantasy, Sci-Fi",false,false,8,false,233846,false,1/15/2021,WandaVision,2021,61651abd8a2fde8299a2a9c8
,,"Crime, Drama",,,7.3,,1908,,7/18/2021,Power Book III: Raising Kanan,2021,61651abd8a2fde8299a2a9c9
,,"Animation, Action, Adventure, Comedy, Sci-Fi",,,7.1,,11774,,8/5/2020,Star Trek: Lower Decks,2020,61651abd8a2fde8299a2a9ca
false,0,"Action, Adventure, Drama, Romance, Sci-Fi",true,false,7.9,false,21194,false,2/23/2021,Superman and Lois,2021,61651abd8a2fde8299a2a9cb
false,0,"Drama, Romance",false,true,7.4,false,30608,false,12/6/2019,Virgin River,2019,61651abd8a2fde8299a2a9cc
false,0,"Drama, Thriller",false,false,8.8,false,26295,true,8/26/2021,Mumbai Diaries 26/11,2021,61651abd8a2fde8299a2a9cd
false,0,Drama,true,false,6.1,false,754,false,9/16/2021,The Premise,2021,61651abd8a2fde8299a2a9ce
,,"Comedy, Drama, Family",,,6.5,,2467,,7/21/2021,Turner & Hooch,2021,61651abd8a2fde8299a2a9cf
false,0,"Drama, Horror, Mystery, Thriller",false,false,7.2,true,9534,false,8/13/2021,Brand New Cherry Flavor,2021,61651abd8a2fde8299a2a9d0
true,0,"Crime, Drama, Mystery, Thriller",false,false,7.1,false,9199,false,12/6/2019,Truth Be Told,2019,61651abd8a2fde8299a2a9d1
,,"Drama, Horror, Sci-Fi",,,4.2,,11065,,10/1/2020,The Walking Dead: World Beyond,2020,61651abd8a2fde8299a2a9d2
,,Drama,,,5,,581,,9/21/2021,Our Kind of People,2021,61651abd8a2fde8299a2a9d3
false,0,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi, Thriller",false,false,8.7,false,91416,true,3/25/2021,Invincible,2021,61651abd8a2fde8299a2a9d4
true,0,"Drama, Sci-Fi",false,false,7.9,false,23987,false,10/15/2019,For All Mankind,2019,61651abd8a2fde8299a2a9d5
false,0,"Drama, Fantasy, Horror, Thriller",false,false,7.4,true,14243,false,12/18/2020,Sweet Home,2020,61651abd8a2fde8299a2a9d6
,,"Crime, Drama, Thriller",,,7.7,,7336,,7/15/2021,Dr. Death,2021,61651abd8a2fde8299a2a9d7
false,0,"Comedy, Romance",false,false,8,false,28296,true,10/17/2019,Modern Love,2019,61651abd8a2fde8299a2a9d8
,,"Comedy, Drama",,,8.4,,5645,,9/1/2020,All Creatures Great and Small,2020,61651abd8a2fde8299a2a9d9
false,0,"Action, Adventure, Drama, Fantasy, Mystery",false,false,7.7,true,65675,false,4/23/2021,Shadow and Bone,2021,61651abd8a2fde8299a2a9da
,,"Short, Action, Thriller",,,7,,4603,,4/6/2020,Most Dangerous Game,2020,61651abd8a2fde8299a2a9db
,,Thriller,,,4.5,,167,,9/29/2021,Hollington Drive,2021,61651abd8a2fde8299a2a9dc
false,0,"Drama, Sci-Fi, Thriller",false,false,7.1,true,27438,false,5/1/2020,Into the Night,2020,61651abd8a2fde8299a2a9dd
,,Thriller,,,6.7,,523,,9/26/2021,Furia,2021,61651abd8a2fde8299a2a9de
,,"Adventure, Drama, Fantasy, Mystery",,,6,,2465,,8/10/2021,Fantasy Island,2021,61651abd8a2fde8299a2a9df
false,0,"Drama, Mystery",false,false,6.5,true,2563,false,5/20/2020,Blood & Water,2020,61651abd8a2fde8299a2a9e0
,,Drama,,,7.4,,4888,,12/8/2019,The L Word: Generation Q,2019,61651abd8a2fde8299a2a9e1
false,0,"Comedy, Romance",false,false,9,true,2176,false,8/28/2021,Gaetmaeul Chachacha,2021,61651abd8a2fde8299a2a9e2
false,0,"Comedy, Drama, Mystery, Thriller",true,false,7.1,,37076,false,11/18/2020,The Flight Attendant,2020,61651abd8a2fde8299a2a9e3
false,0,"Comedy, Drama",false,false,7.2,true,11705,false,8/20/2021,The Chair,2021,61651abd8a2fde8299a2a9e4
false,0,"Action, Crime, Drama",false,false,8.4,true,2453,false,8/27/2021,D.P.,2021,61651abd8a2fde8299a2a9e5
,,"Action, Drama, Thriller",,,6.9,,10092,,1/19/2020,9-1-1: Lone Star,2020,61651abd8a2fde8299a2a9e6
,,Crime,,,8,,656,,10/6/2021,CSI: Vegas,2021,61651abd8a2fde8299a2a9e7
false,0,"Animation, Action, Drama, Sci-Fi",true,false,8.4,false,6573,false,4/10/2021,Tokyo Revengers,2021,61651abd8a2fde8299a2a9e8
false,0,"Comedy, Drama, Romance",false,false,7.5,true,11763,false,4/24/2020,Ask 101,2020,61651abd8a2fde8299a2a9e9
false,1,"Action, Adventure, Drama, Sci-Fi",false,false,7.3,false,160219,false,3/19/2021,The Falcon and the Winter Soldier,2021,61651abd8a2fde8299a2a9ea
false,0,"Drama, Fantasy, Horror, Mystery, Thriller",false,false,7.4,true,50728,false,2/7/2020,Locke & Key,2020,61651abd8a2fde8299a2a9eb
false,0,"Action, Crime, Drama, Mystery",false,false,7.5,true,90671,false,1/8/2021,Lupin,2021,61651abd8a2fde8299a2a9ec
false,0,"Action, Crime, Drama, Western",true,false,6,false,7763,false,1/21/2021,Walker,2021,61651abd8a2fde8299a2a9ed
false,0,Comedy,false,false,6.5,true,1952,false,8/31/2021,On the Verge,2021,61651abd8a2fde8299a2a9ee
,,"Drama, Romance",,,5.3,,6417,,7/8/2021,Gossip Girl,2021,61651abd8a2fde8299a2a9ef
false,0,"Action, Adventure, Drama, Sci-Fi",true,false,7.5,false,49968,false,1/13/2020,Star Trek: Picard,2020,61651abd8a2fde8299a2a9f0
,,Comedy,,,7,,1322,,9/10/2021,The Cleaner,2021,61651abd8a2fde8299a2a9f1
true,0,"Comedy, Drama",false,false,6.4,false,3116,false,8/6/2021,Mr. Corman,2021,61651abd8a2fde8299a2a9f2
false,0,"Adventure, Drama, Family, Fantasy",false,true,7.9,false,57586,false,11/3/2019,His Dark Materials,2019,61651abd8a2fde8299a2a9f3
false,0,"Comedy, Drama",false,false,7.9,true,39744,false,4/27/2020,Never Have I Ever,2020,61651abd8a2fde8299a2a9f4
false,0,"Documentary, Reality-TV, Romance",false,false,8.6,true,4285,false,11/19/2019,Love on the Spectrum,2019,61651abd8a2fde8299a2a9f5
