Title,Year,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,HBO,Apple,Genres
The Night Comes for Us,2018,7,87,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Thriller"
The Big Lebowski,1998,8.1,87,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Crime,Sport"
Pad Man,2018,7.9,87,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama"
American Factory,2019,7.4,86,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
Bird Box,2018,6.6,86,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Horror,Sci-Fi"
The Pianist,2002,8.5,86,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Drama,Music,War"
3 Idiots,2009,8.4,86,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama"
The Distinguished Citizen,2016,7.5,86,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama"
A Shaun the Sheep Movie: Farmageddon,2019,6.8,86,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi"
A Clockwork Orange,1971,8.3,86,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,Sci-Fi"
What Happened to Monday,2017,6.9,86,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Crime,Fantasy,Mystery,Sci-Fi,Thriller"
Anthony Jeselnik: Thoughts and Prayers,2015,7.8,86,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Comedy
The White Helmets,2016,7.5,86,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Short,War"
Invader ZIM: Enter the Florpus,2019,7.5,86,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animation,Action,Adventure,Comedy,Family,Sci-Fi"
Happy as Lazzaro,2018,7.5,85,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Fantasy,Mystery"
Chasing Coral,2017,8.1,85,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
Kal Ho Naa Ho,2003,7.9,85,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama,Musical,Romance"
Pan's Labyrinth,2006,8.2,85,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Fantasy,War"
Team Foxcatcher,2016,7.3,85,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Biography,Crime,History,Sport"
The Meyerowitz Stories (New and Selected),2017,6.9,85,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama"
Casino Royale,2006,8,85,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Adventure,Thriller"
The Hateful Eight,2015,7.8,85,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,Mystery,Thriller,Western"
Rush,2013,8.1,84,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Biography,Drama,Sport"
