_id,Title,Year,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,HBO,Apple,Genres
6165e0ee8a2fde8299a2d287,A Whisker Away,2020,6.7,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animation,Adventure,Family,Fantasy,Romance"
6165e0ee8a2fde8299a2d28e,Circus of Books,2019,7.1,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Biography,History"
6165e0ee8a2fde8299a2d29e,Uncut Gems,2019,7.4,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,Thriller"
6165e0ee8a2fde8299a2d2a1,The Sky Is Pink,2019,7.6,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Romance"
6165e0ee8a2fde8299a2d2a6,Badla,2019,7.8,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,Mystery,Thriller"
6165e0ee8a2fde8299a2d2a8,The Willoughbys,2020,6.4,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animation,Adventure,Comedy,Family"
6165e0ee8a2fde8299a2d2b3,The Speed Cubers,2020,7.4,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Short,Sport"
6165e0ee8a2fde8299a2d2b5,The Dirt,2019,7,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Comedy,Drama,Music"
6165e0ee8a2fde8299a2d2b7,Atlantics,2019,6.7,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Mystery,Romance"
6165e0ee8a2fde8299a2d2b8,37 Seconds,2019,7.3,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Drama
6165e0ee8a2fde8299a2d2b9,El Camino: A Breaking Bad Movie,2019,7.3,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Crime,Drama"
6165e0ee8a2fde8299a2d2c0,Get In,2019,5.6,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Horror,Thriller"
6165e0ee8a2fde8299a2d2c1,ZZ Top: That Little Ol' Band From Texas,2019,7.5,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Biography,Music"
6165e0ee8a2fde8299a2d2c3,Mike Birbiglia: The New One,2019,7.7,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Comedy
