show/cache_time,show/canonical_name,show/description,show/episodes_count,show/genre,show/name,show/rating,show/seasons_count
2017-08-10T15:52:49+00:00,once-upon-a-time,"From the inventive minds of Lost executive producers Adam Horowitz and Edward Kitsis comes a bold new imagining of the world, where fairy tales and the modern day are about to collide.",22,Drama,Once Upon a Time,4.715775889,1
2017-08-10T15:08:06+00:00,rick-and-morty,"Rick and Morty is a show about a sociopathic scientist who drags his unintelligent grandson on insanely dangerous adventures across the universe. Created and executive produced by Dan Harmon (Community, Channel 101) and Justin Roiland (House of Cosbys).",21,Animation and Cartoons,Rick and Morty,4.772879511,2
2017-08-10T14:38:38+00:00,workaholics,"College is over but the party isn’t. Join three best buds as they share a job, a crash pad and a promise to never let work get in the way of a good time—on this raucously original series.",86,Comedy,Workaholics,4.577148191,7
2017-08-10T15:31:01+00:00,bleach,"For as long as he can remember, Ichigo Kurosaki has been able to see ghosts. But when he meets Rukia, a Soul Reaper who battles evil spirits known as Hollows, he finds his life is changed forever when Rukia transfers most of her powers to him. Now a Soul Reaper himself with a new found wealth of spiritual energy, Ichigo discovers his true calling: to protect the living and the dead from evil. But when Rukia's actions are called under scrutiny, Ichigo and his friends must put everything on the line to prepare to save their friend from the harsh justice of the Soul Society.",732,Anime,Bleach,4.421983759,26
2017-08-10T14:10:34+00:00,one-piece,"Monkey D. Luffy refuses to let anyone or anything stand in the way of his quest to become king of all pirates. With a course charted for the treacherous waters of the Grand Line, this is one captain who’ll never drop anchor until he’s claimed the greatest treasure on Earth – the Legendary One Piece!",747,Anime,One Piece,4.146686059,11
2017-08-10T14:42:28+00:00,the-voice,"Four famous musician coaches will each select singers to mentor into artists during the blind auditions. Once they have their teams, the star coaches will bring in their personal songwriters, producers, and high-powered friends to help their teams evolve. Ultimately, America will decide which singer will be worthy of the grand prize.",0,Reality and Game Shows,The Voice,4.1234969,0
2017-08-10T15:57:42+00:00,doc-mcstuffins,"A magical animated series about a six-year-old girl, Doc McStuffins, who has the ability to talk to and heal toys and stuffed animals! With the help of her stuffed animal friends, Doc runs a clinic for toys out of her playhouse. The series emphasizes the importance of lending a helping hand, or paw, when people and toys need it most.",92,Animation and Cartoons,Doc McStuffins,3.503616156,3
2017-08-10T15:03:40+00:00,hells-kitchen,An unscripted culinary boot camp that features the drama of aspiring restaurateurs competing for world-renowned Chef Gordon Ramsay’s approval and the chance to become America’s next culinary star.,0,Reality and Game Shows,Hell's Kitchen,4.05219787,0
2017-08-10T15:32:23+00:00,empire,"From Academy Award nominee Lee Daniels (“Lee Daniels’ The Butler,” “Precious”) and Emmy Award winner Danny Strong (“Game Change,” “Lee Daniels’ The Butler”), comes EMPIRE, a sexy and powerful new drama about the head of a music empire whose three sons and wife all battle for his throne. Set to an original soundtrack written and produced by hip-hop hitmaker Timbaland, the family drama stars Academy Award nominee Terrence Howard (“Crash,” “Hustle & Flow”) and Academy Award and Emmy Award nominee Taraji P. Henson (“Person of Interest,” “The Curious Case of Benjamin Button”).",48,Drama,Empire,4.57500889,3
2017-08-10T14:43:49+00:00,its-always-sunny-in-philadelphia,"Wednesdays at 10pm on FXX. It's Always Sunny in Philadelphia features Mac, Dennis, Charlie, Sweet Dee and Frank, five ne’er-do-wells who own and operate Paddy’s Pub in Philadelphia. Their constant scheming usually lands them in a world of hurt, yet they never seem to learn from their mistakes. As they say, some things never change. So prepare for more depraved schemes, half-baked arguments and absurdly underhanded plots to subvert one another.

It's Always Sunny in Philadelphia was created by Rob McElhenney and is executive produced by Rob McElhenney, Charlie Day, Glenn Howerton, Michael Rotenberg, Nicholas Frenkel, Tom Lofaro, Rob Rosell, Scott Marder and David Hornsby. An FX Networks Original Series.",123,Comedy,It's Always Sunny in Philadelphia,4.478408089,11
2017-08-10T15:39:59+00:00,keeping-up-with-the-kardashians,Keeping Up with the Kardashians takes viewers inside the hectic lives of Hollywood's modern-day Brady Bunch. Can two famous clans come together as one united front? Or will their individual lust for the limelight end up fracturing the family?,181,Reality and Game Shows,Keeping Up With the Kardashians,3.211605378,12
2017-08-10T15:14:51+00:00,the-good-wife,"Julianna Margulies (ER) ignites the screen as Alicia Florrick, the political wife whose world is shattered when her husband (Chris Noth, Sex & the City, Law & Order) is caught in a sex and corruption scandal. Forced to support her family, Alicia returns to work at a Chicago law firm headed by Diane Lockhart (Emmy and Tony Award winner Christine Baranski) and Will Gardner (Josh Charles), a driven attorney with a passion for justice. A gripping blend of courtroom drama, politics and steamy personal relationships, THE GOOD WIFE features an A-List cast of regulars and guest stars like Michael J. Fox, Matthew Perry and Rita Wilson. Hailed by the Chicago Tribune for its “deluxe production values, smart writing, and outstanding array of actors,” the series earned 14 Emmy nominations in its first two seasons alone. With fascinating characters and timely scripts torn from the headlines, the verdict is in: THE GOOD WIFE is great entertainment.",156,Drama,The Good Wife,4.560711786,7
2017-08-10T14:58:12+00:00,curious-george,"For nearly 65 years, generations of young children have been charmed by the literary adventures of Curious George. Now George is ready for his next big adventure! Based on the best-selling Curious George books by Margret and H.A. Rey, the series expands George’s world to include a host of colorful new characters and original locales, while maintaining the charm of the beloved books. The series aims to inspire kids to explore science, math, and engineering in the world around them.",108,Kids,Curious George,3.578587476,9
2017-08-10T14:27:54+00:00,naruto,"The Village Hidden in the Leaves is home to the stealthiest ninja in the land.  But twelve years earlier, a fearsome Nine-tailed Fox terrorized the village before it was subdued and its spirit sealed within the body of a baby boy--Naruto Uzumaki!",440,Anime,Naruto,4.212936615,4
2017-08-10T14:59:23+00:00,the-goldbergs,"The Goldbergs are a loving family like any other, just with a lot more yelling, but for geeky 11-year old Adam these were his wonder years and he faced them armed with a video camera to capture all the crazy.",95,Comedy,The Goldbergs,4.384575644,4
2017-08-10T15:22:30+00:00,blackish,"Andre 'Dre' Johnson has a great job, a beautiful wife, Rainbow, four kids, and a colonial home in the 'burbs. But has success brought too much assimilation for this black family?",72,Comedy,Black-ish,4.23707817,3
2017-08-10T15:29:44+00:00,desperate-housewives,"ABC's Desperate Housewives offers a deliciously juicy glimpse into the lives of everyone's favorite housewives. On the surface, the ladies of Wisteria Lane appear to be the picture of suburban America. But underneath lay bigger mysteries - infidelity, deceit, blackmail, and even murder. And with not-so-honest husbands, complicated relationships, family drama and meddling neighbors adding to the turmoil, it's no wonder things aren't always as they seem.",180,Drama,Desperate Housewives,3.698476373,8
2017-08-10T14:12:49+00:00,csi-crime-scene-investigation,"""CSI: Crime Scene Investigation"" is a fast-paced drama about a team of forensic investigators trained to solve crimes by examining the evidence. They are on the case 24/7, scouring the scene, collecting the irrefutable evidence and finding the missing pieces that will solve the mystery.",337,Drama,CSI: Crime Scene Investigation,4.496905704,16
2017-08-10T15:04:59+00:00,archer,"Archer chronicles an international spy agency and the lives of its employees. Although their work of espionage, reconnaissance missions, wiretapping and undercover surveillance is daunting and dangerous, every covert operation and global crisis is actually just another excuse for the staff to undermine, sabotage and betray each other for personal gain. ",85,Animation and Cartoons,Archer,4.448908555,7
2017-08-10T14:21:23+00:00,broad-city,"A bottle of wine tastes just as good when you pay with all pennies. That's a fact. And no matter what the city throws at twenty-somethings Abbi and Ilana, these broads are all in. Catch the totally fresh, new series based on the acclaimed digital shorts.",30,Comedy,Broad City,4.642177106,3
2017-08-10T15:43:43+00:00,americas-next-top-model,"Young women of various backgrounds, shapes and sizes compete to prove that they can make it in the high-stress, high-stakes world of modeling. With mentoring by supermodel Tyra Banks and exposure to prolific fashion-industry gurus, the finalists compete in an accelerated modeling boot camp. Participants learn to master complicated catwalks, fashion photo shoots and perfect publicity skills, all under 24-hour-a-day surveillance of the cameras that chronicle every move.",283,Reality and Game Shows,America's Next Top Model,3.541373579,22
2017-08-10T15:56:15+00:00,the-tonight-show-starring-jimmy-fallon,"Join Jimmy Fallon for a daily mix of jokes, sketches, celebrity interviews and musical guests.",18,Comedy,The Tonight Show Starring Jimmy Fallon,4.155577697,1
2017-08-10T14:42:00+00:00,key-and-peele,"Tired of watching just one comedian at a time? Get a pair. Catch sketch comedy masters and best friends Keegan-Michael Key and Jordan Peele for a half hour of irreverent wit, pop-culture impressions and escalating absurdity.",53,Comedy,Key & Peele,4.438184167,5
2017-08-10T15:28:43+00:00,the-golden-girls,"The Golden Girls is the story of four older women who share a house in Miami Beach, Florida. Bea Arthur plays Dorothy, a divorced school teacher, with a sardonic wit. Rue McClanahan plays Blanche, a man-hunting Southern Belle. Betty White plays Rose, a very sweet woman who is somewhat spacey. Rounding out the trio is Estelle Getty, playing Dorothy's outspoken mother, Sophia. ",180,Classics,The Golden Girls,4.591255389,7
2017-08-10T14:30:46+00:00,steven-universe,"Steven Universe is about the misadventures of a boy named Steven, the ultimate ""little brother"" to a team of magical guardians of humanity—the Crystal Gems. Steven may not be as powerful as the Crystal Gems. Or as savvy. But that doesn't stop him from joining Garnet, Amethyst and Pearl on their magical adventures and somehow finding a way to save the day!",102,Comedy,Steven Universe,4.416828893,3
2017-08-10T15:12:13+00:00,kitchen-nightmares,An unscripted series in which Gordon Ramsay attempts to turn deserted restaurants into the most sought-after venues in town.,92,Reality and Game Shows,Kitchen Nightmares,4.019048561,6
2017-08-10T14:22:08+00:00,the-last-man-on-earth,"The year is 2020, and after a deadly virus has swept the planet, only one man is left on earth: Phil Miller (Will Forte). He used to be just an average guy who loved his family and hated his job. Now, in his RV, Phil searches the country for other survivors. He has traveled to every city, every town and every outpost in the United States, Mexico and Canada, and has found no one. As he returns to his hometown of Tucson, Phil comes to the painful realization that he is almost certainly the last living being on the face of the earth. All he wants is for someone – anyone – to find him in Tucson – preferably a woman. ",48,Comedy,The Last Man on Earth,4.339346137,3
2017-08-10T14:38:02+00:00,yu-gi-oh,"Meet Yugi, an eager young freshman at Domino High School. Yugi and his best friends, Joey, Tristan, and Tea share a love of a cool new game that's sweeping the nation...Duel Monsters! In this card-battling game, players pit different mystical creatures against one another in action-packed, high intensity duels.",236,Anime,Yu-Gi-Oh!,3.674606741,5
2017-08-10T15:10:16+00:00,elementary,ELEMENTARY stars Jonny Lee Miller as detective Sherlock Holmes and Lucy Liu as Dr. Joan Watson in a modern-day drama about a crime-solving duo that cracks the NYPD’s most impossible cases.,120,Drama,Elementary,4.574669187,5
2017-08-10T15:37:26+00:00,americas-got-talent,America votes in the ultimate talent show to determine which act deserves a million dollars.,12,Reality and Game Shows,America's Got Talent,3.335469442,1
