Disney+,Genres,IMDb,Rotten Tomatoes,Title,Year,_id
true,Documentary,7,48,Mars: One Day on the Red Planet,2020,616528458a2fde8299a2ceeb
true,"Animation,Short,Comedy,Family,Fantasy",6.8,48,Forky Asks a Question: What Is Time?,2019,616528458a2fde8299a2cef5
true,"Animation,Short,Action,Adventure,Family",4.9,47,Marvel Rising: Chasing Ghosts,2019,616528458a2fde8299a2cef9
true,"Animation,Short,Comedy,Family,Fantasy",6.5,47,Forky Asks a Question: What Is Art?,2019,616528458a2fde8299a2cefd
true,"Animation,Short,Comedy,Family,Fantasy",6.6,47,Forky Asks a Question: What Is a Computer?,2019,616528458a2fde8299a2cf03
true,"Animation,Short,Action,Adventure,Sci-Fi",4.4,47,Marvel Rising: Heart of Iron,2019,616528458a2fde8299a2cf07
true,Documentary,6.1,47,Back To The Titanic,2020,616528458a2fde8299a2cf09
true,"Animation,Short,Comedy,Family,Fantasy",6.9,47,Forky Asks a Question: What is Reading?,2020,616528458a2fde8299a2cf0b
true,Documentary,8.3,47,Okavango: River of Dreams,2019,616528458a2fde8299a2cf0c
true,"Animation,Short,Comedy,Family,Fantasy",6.5,46,Forky Asks a Question: What Is a Leader?,2019,616528458a2fde8299a2cf1d
true,Documentary,6.6,46,The Lost Tomb of Alexander the Great,2019,616528458a2fde8299a2cf1f
true,"Animation,Short",5.8,46,Myth: A Frozen Tale,2020,616528458a2fde8299a2cf20
true,"Animation,Short,Action,Adventure,Family",5,45,Marvel Rising: Battle of the Bands,2019,616528458a2fde8299a2cf2d
true,"Animation,Short,Comedy,Family,Fantasy",6.3,45,Forky Asks a Question: What Is a Pet?,2019,616528458a2fde8299a2cf2e
true,"Documentary,Adventure,Family",7.4,45,In the Footsteps of Elephant,2020,616528458a2fde8299a2cf33
true,"Music,Musical",7.1,45,A Celebration of the Music from Coco,2020,616528458a2fde8299a2cf36
true,"Comedy,Drama,Musical",5.7,45,High School Musical: The Musical: The Holiday Special,2020,616528458a2fde8299a2cf3c
true,"Animation,Short,Action,Adventure,Family,Sci-Fi",5.2,45,Marvel Rising: Playing with Fire,2019,616528458a2fde8299a2cf3d
true,"Animation,Short,Comedy,Family,Romance",,45,Playdate with Destiny,2020,616528458a2fde8299a2cf3e
true,"Animation,Adventure,Comedy,Family",3.6,45,"Dory's Reef Cam",2020,616528458a2fde8299a2cf3f
true,History,6.8,44,Pompeii: Secrets of the Dead,2019,616528458a2fde8299a2cf40
true,"Animation,Short,Action,Adventure",4.8,44,Marvel Rising: Operation Shuri,2019,616528458a2fde8299a2cf48
true,Documentary,6.9,44,Lost Temple of The Inca,2020,616528458a2fde8299a2cf49
true,Documentary,5.4,44,"Star Wars: Galaxy's Edge - Adventure Awaits",2019,616528458a2fde8299a2cf4d
true,"Documentary,Short,Drama",6.4,43,Notre Dame: Race Against the Inferno,2019,616528458a2fde8299a2cf50
true,"Family,Music,Musical",6,43,The Disney Holiday Singalong,2020,616528458a2fde8299a2cf51
true,Documentary,6.9,42,Expedition Everest,2020,616528458a2fde8299a2cf5a
true,"Animation,Short,Family",7.6,42,From Our Family to Yours,2020,616528458a2fde8299a2cf5d
true,Documentary,7.1,42,Diving with Dolphins,2020,616528458a2fde8299a2cf62
true,"Documentary,Short",7.4,42,Petra: Secrets of the Ancient Builders,2020,616528458a2fde8299a2cf63
true,"Documentary,History",7.6,42,Surviving the Mount St. Helens Disaster,2020,616528458a2fde8299a2cf64
true,Documentary,,41,Secrets of the Bull Shark,2020,616528458a2fde8299a2cf6b
true,Documentary,6.8,41,The Last Ice,2020,616528458a2fde8299a2cf72
true,"Documentary,Talk-Show",6.4,41,Hamilton: History Has Its Eyes On You,2020,616528458a2fde8299a2cf78
true,Documentary,6.8,41,The Hidden Kingdoms of China,2020,616528458a2fde8299a2cf79
true,Documentary,5.4,40,Buried Truth of the Maya,2020,616528458a2fde8299a2cf7d
true,Documentary,,40,Shark vs. Surfer,2020,616528458a2fde8299a2cf7f
true,"Documentary,Drama,History",6.5,39,Viking Warrior Women,2019,616528458a2fde8299a2cf8b
true,Documentary,7.7,38,Born Wild: The Next Generation,2020,616528458a2fde8299a2cf8d
true,Documentary,6.3,38,Chasing the Equinox,2019,616528458a2fde8299a2cf8e
true,Animation,5.5,38,Arendelle Castle Yule Log,2019,616528458a2fde8299a2cf90
true,Documentary,6.2,38,Being the Queen,2020,616528458a2fde8299a2cf94
true,Documentary,6,38,Man vs. Shark,2019,616528458a2fde8299a2cf97
true,"Documentary,History",7.1,38,The Lost City of Machu Picchu,2019,616528458a2fde8299a2cf98
true,"Documentary,Short",5.9,37,The Undefeated Presents: Hamilton In-Depth,2020,616528458a2fde8299a2cf9b
true,"Documentary,Family",6.9,37,Penguins: Life on the Edge,2020,616528458a2fde8299a2cf9c
true,Documentary,,37,Wild Portugal,2020,616528458a2fde8299a2cf9d
true,"Documentary,Music",6.9,37,Disney My Music Story: Perfume,2020,616528458a2fde8299a2cf9e
true,Documentary,5.2,35,Shark vs. Whale,2020,616528458a2fde8299a2cfa0
true,Documentary,5.6,35,Shark Attack Investigation: The Paige Winter Story,2020,616528458a2fde8299a2cfa1
true,,6.2,35,Disney Holiday Magic Quest,2020,616528458a2fde8299a2cfa2
true,"Documentary,Short",7.8,35,"India's Wild Leopards",2020,616528458a2fde8299a2cfa3
true,"Comedy,Family,Musical",5.3,33,Disney Channel Halloween House Party,2020,616528458a2fde8299a2cfa9
true,Musical,3.9,32,"Challenge Accepted! Disney Channel's Epic Holiday Showdown",2020,616528458a2fde8299a2cfad
true,Documentary,6.5,31,Sharks of the Bermuda Triangle,2020,616528458a2fde8299a2cfae
true,"Game-Show,Reality-TV",,16,Sharkcano,2020,616528458a2fde8299a2cfaf
true,,,14,Great Shark Chow Down,2019,616528458a2fde8299a2cfb2
true,"Animation,Adventure,Comedy,Family,Fantasy",,14,Texas Storm Squad,2020,616528458a2fde8299a2cfb4
true,Reality-TV,,14,What the Shark?,2020,616528458a2fde8299a2cfb5
true,"Crime,Reality-TV",,14,Most Wanted Sharks,2020,616528458a2fde8299a2cfb7
true,Animation,,13,Doc McStuffins: The Doc Is In,2020,616528458a2fde8299a2cfb8
true,,,13,Ultimate Viking Sword,2019,616528458a2fde8299a2cfb9
true,Documentary,,10,Women of Impact: Changing the World,2019,616528458a2fde8299a2cfbb
true,"Comedy, Mystery, Sci-Fi",8,,Upload,2020,616529b68a2fde8299a2d153
true,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Horror, Mystery",8.2,,The Owl House,2020,616529b68a2fde8299a2d156
true,Comedy,7.3,,Awkwafina Is Nora from Queens,2020,616529b68a2fde8299a2d15d
true,"Crime, Drama, Mystery",6.5,,Hightown,2020,616529b68a2fde8299a2d1a3
