Genres,IMDb,Rotten Tomatoes,Title
"Adventure,Comedy",5.2,51,I Hate Kids
"Action,Crime,Thriller",3.6,51,10 Minutes Gone
Documentary,7.4,51,Fiddler: A Miracle of Miracles
"Crime,Thriller",5.4,51,100 Days to Live
"Action,Western",5.3,51,Big Kill
"Crime,Thriller",6.2,51,American Dreamer
"Horror,Mystery",4.9,51,The Odds
Reality-TV,5,51,Kindred Spirits
"Comedy,Drama",4.8,51,Summer Night
"Action,Drama,Sci-Fi",6,50,Out of Time
"Drama,Romance",5.4,50,See You Soon
"Action,Drama,Sport,Thriller",4.4,50,Trading Paint
"Documentary,Biography,Sport",6.6,50,Kroos
"Drama,Thriller",6.2,50,Aadai
"Comedy,Drama,Sport",5.3,50,Britt-Marie Was Here
"Animation,Drama,Music",7.1,50,Sound! Euphonium the Movie - Our Promise: A Brand New Day
Drama,5.6,50,Bottom of the 9th
Drama,7.3,49,Ardab Mutiyaran
"Action,Drama,Romance,Thriller",5.6,49,Enai Noki Paayum Thota
Comedy,6.2,49,F2: Fun and Frustration
"Action,Adventure,Drama,History",5.5,49,The Climbers
"Action,Comedy,Drama",5.5,49,Venky Mama
Comedy,5.6,49,Making Babies
Drama,6.1,49,A Dog Barking at the Moon
"Comedy,Drama,Romance",6.5,49,Chandigarh Amritsar Chandigarh
Comedy,6.8,48,David Cross: Oh Come On
Thriller,4.6,48,Beneath The Leaves
"Comedy,Fantasy,Horror",4.8,48,Halloween Party
"Comedy,Fantasy,Horror,Thriller",3.6,48,Killer Sofa
"Drama,Horror,Thriller",2.8,48,The Haunting of Sharon Tate
Documentary,8.3,48,Pain Warriors
"Action,Comedy,Crime",3,48,Dabangg 3
"Action,Crime,Thriller",5.7,48,Kadaram Kondan
Action,6.7,47,Yajamana
Documentary,7,47,Most Likely to Succeed
"Drama,War",3.8,47,The Great War
Documentary,6.4,47,American Tragedy
Documentary,8.3,47,The Days of Noah Part 1: The Flood
Comedy,8.4,47,"Steve Trevino: 'Til Death"
"Biography,Drama",5.6,47,N.T.R: Kathanayakudu
"Adventure,Fantasy",5.3,47,A World Away
Romance,5.8,46,A Christmas Recipe for Romance
Documentary,8.2,46,Rapid Response
Comedy,7.7,46,Chris Porter: A Man From Kansas
"Documentary,Drama",6.5,46,Cocaine Prison
Drama,5.8,46,Acquainted
"Documentary,Biography,History",6.2,46,Third Eye Spies
"Action,Drama,Horror,Romance,Thriller",4.4,46,Ghost in the Graveyard
Drama,5.4,46,Anthem of a Teenage Prophet
"Comedy,Drama,Family,Romance",5.7,45,A Christmas Princess
Documentary,7.7,45,Hesburgh
"Drama,Western",4.7,45,Out of Liberty
"Drama,Sport",6.2,45,Sprinter
"Drama,Fantasy,Horror,Mystery,Thriller",3.1,45,Apparition
"Drama,Horror,Thriller",4.4,45,The Cleansing
Thriller,4.8,45,Safe Inside
Comedy,7.4,45,Kaafi Filmy
Comedy,7.4,45,"Tone Bell - Can't Cancel This"
Documentary,7.6,44,"Undercover with the Clerics: Iraq's Secret Sex Trade"
Comedy,6,44,Ninu Veedani Needanu Nene
"Comedy,Horror",5.4,44,Petromax
Comedy,5.5,44,"Rock N' Roll Christmas"
Comedy,6.8,44,Howie Mandel Presents Howie Mandel at the Howie Mandel Comedy Club
Comedy,6.2,44,Alonzo Bodden: Heavy Lightweight
"Animation,Adventure,Fantasy",5.5,44,Boonie Bears: Blast into the Past
"Action,Thriller",5.1,44,Mikhael
"Action,Drama,Romance",3.6,44,Marjaavaan
Western,4.7,44,Any Bullet Will Do
Drama,4.6,43,Darling Nikki
Documentary,7.3,43,The Pollinators
Action,3.1,43,Atone
Comedy,6.2,43,Joel Mchale: Live from Pyongyang
Documentary,4.8,43,Extraordinary: The Seeding
Documentary,6.4,43,Rolling Stone: Life and Death of Brian Jones
"Documentary,Biography,History,Music",7.5,43,Melody Makers
Comedy,7.4,43,Bryan Callen: Complicated Apes
Thriller,6.7,42,Babru
"Horror,Sci-Fi",3.3,42,Solar Impact: The Destruction of London
Documentary,8.6,42,Ostatni ludzie Czarnobyla 2
"Drama,War",4.5,42,Escape and Evasion
Thriller,4.9,42,A Stone in the Water
"Comedy,Horror",4.3,42,Lillith
Romance,4.5,42,Home for Harvest
Comedy,5.5,42,Alice Wetterlund: My Mama Is a Human and So Am I
Documentary,5.6,42,Iliza Shlesinger: Over & Over
"Comedy,Drama",5.1,42,CRSHD
Horror,3.2,42,The Haunting of Borley Rectory
Romance,5.7,42,Snowbound for Christmas
"Comedy,Mystery",4.8,42,Lost Holiday
Drama,4.7,42,Josie & Jack
Comedy,6.7,41,Mike E. Winfield: Stepman
Action,3.3,41,Vinaya Vidheya Rama
Drama,6.4,41,All In
Drama,4.7,41,Subira
Drama,6.4,41,A Promise To Astrid
"Drama,Horror,Mystery,Thriller",4.2,41,Armageddon Gospels
"Crime,Drama,Mystery,Romance,Thriller",5.3,41,All Good Things
"Adventure,Comedy,Family,Fantasy,Romance",4.2,41,Nicole
Documentary,7.6,40,"Barry Brewer: Chicago, I'm Home"
"Comedy,Drama",4.6,40,Ruta Madre
Horror,3.2,40,Curse of the Blind Dead
Horror,3,40,One Remains
Documentary,4.9,40,Jill-Michele Meleán: White / Latina
Romance,3.3,40,Christmas Coupon
Comedy,5.8,40,#IMomSoHard Live
"Drama,Horror,Thriller",4.8,40,Ragmork
"Action,Crime",5.9,40,DSP Dev
Drama,3.6,40,Becoming Burlesque
Documentary,7.5,39,Tails of Iceland
Comedy,7,39,Matt Besser: Pot Humor
Documentary,6.5,39,The Beer Jesus from America
Comedy,7.6,39,Jon Reep: Ginger Beard Man
"Crime,Drama,Mystery,Thriller",6.2,39,Where Sleeping Dogs Lie
"Action,Crime,Drama,Thriller",6.7,39,Son of a Gun
"Action,Crime",3.8,38,Narco Soldiers
Horror,3.5,38,Tales of Found Footage
Documentary,6.9,38,The Days of Noah Part 2: Judgment Hour
"Crime,Drama,Mystery,Romance",5.8,37,Turned Out
"Comedy,Drama,Romance",3.3,37,A Room Full of Nothing
Drama,4.8,37,Elodie
"Comedy,Family,Fantasy",3.9,36,Elfette Saves Christmas
"Action,Comedy,Drama,Romance,Sport",2.2,36,Student of the Year 2
Drama,6.6,36,Diamond in the Rough
Comedy,6.8,36,Marina Franklin: Single Black Female
"Action,Sci-Fi",2.4,36,Immortal Combat the Code
Comedy,6.9,35,Elliott Morgan: Holy Shit
Comedy,6.7,35,William Lee Martin: Standing in the Middle
"Drama,Thriller",6.8,35,The Dance
Comedy,3.4,35,La pachanga
Documentary,4.4,34,Superintelligence: Beyond Human
"Comedy,Drama",5,34,1/2 New Year
"Crime,Drama,Thriller",5.2,34,Drastic Measures
Comedy,4.2,33,La Sucursal
Comedy,7.2,33,Matt Braunger: Finally Live in Portland
Drama,4.9,32,Modern Prodigal
"Drama, Sci-Fi",8,59,Modern Love
