Genres,IMDb,Rotten Tomatoes,Title
"Action,Adventure,Drama,Sci-Fi,Thriller",4.8,63,Awake
"Biography,Crime,Drama,Thriller",6.5,61,Monster
Drama,7.1,86,One Night in Miami...
"Action,Adventure,Drama,Sci-Fi,Thriller",6.6,81,The Tomorrow War
"Drama,Romance",7.3,74,Our Friend
Comedy,5.3,70,Coming 2 America
"Comedy,Fantasy,Romance",6.8,69,The Map of Tiny Perfect Things
"Action,Thriller,War",5.8,69,"Tom Clancy's Without Remorse"
"Action,Thriller",5.5,67,Jolt
Comedy,7.6,61,Jathi Ratnalu
"Drama,Sci-Fi,Thriller",5.8,59,Parallel
"Drama,Horror",6.2,59,"My Heart Can't Beat Unless You Tell It To"
Documentary,6.5,57,"Mary J. Blige's My Life"
"Action,Comedy,Drama,Sport",4.6,57,Chick Fight
"Documentary,Biography,Music",7.9,57,P!nk: All I Know So Far
"Drama,Romance",5.3,55,Luxor
"Biography,Drama",5.7,54,Son of the South
"Crime,Horror,Thriller",5.9,54,Hoodman
Horror,4.6,54,Butchers
"Crime,Drama,Mystery,Thriller",6.1,53,Cold Case
Action,6.3,53,American Mobster: Retribution
Mystery,6.5,53,One and the Same
"Drama,Horror,Mystery",4.2,50,The Pond
Thriller,3.7,50,Introspectum Motel
Documentary,6.5,50,"Stallone: Frank, That Is"
Horror,4,50,Blood Born
Thriller,4.8,49,"Goodbye, Butterfly"
"Adventure,Horror,Mystery",3.2,48,Red Woods
"Horror,Sci-Fi,Thriller",4.7,48,The Lift
Sci-Fi,3.2,48,The Alpha Test
"Documentary,History,War",5.4,47,Journey to Royal: A WWII Rescue Mission
"Drama,Family",5.3,46,"My Brother's Keeper"
"Drama,Fantasy",4.8,46,These Streets We Haunt
Sci-Fi,4.4,46,Expiry
"Drama,Romance",4.7,46,The Heiress
"Horror,Mystery,Sci-Fi,Thriller",3.1,46,Lazarus
"Drama,Thriller",4.8,45,My Beautiful Bride
Documentary,6,45,Volcanic UFO Mysteries
Comedy,6.6,44,Bottom Feeders
"Comedy,Drama",5.8,44,Ape Canyon
Documentary,5.8,44,Hot Money
Drama,3.6,44,Travis Turner
"Drama,Music",6.2,43,Nightingale: A Melody of Life
Drama,3.8,43,The Believer
"Biography,Drama,History",5.2,43,Kilroy
Drama,6.6,42,Gun and a Hotel Bible
Horror,3.8,42,Axeman at Cutters Creek
"Action,War",1.9,42,"Hampton's Legion"
Comedy,4.1,41,The Bid
Drama,5.3,40,All We Got
"Drama,Musical",4.8,40,"Good Grief It's Friday"
Family,5.6,38,The Healing Garden
Comedy,4.7,38,Honesty Weekend
Horror,1.9,38,Virus Shark
Drama,4.6,37,Magic Max
Sci-Fi,3.8,37,Voyage of the Chimera
"Drama,Musical,Romance",6.6,35,Love You Right: An R&B Musical
"Horror,Mystery,Thriller",2.4,34,Mummy Dearest
"Drama,Family,Mystery",4.9,33,Aperture Kids and the Mysterious Neighbor
"Crime, Drama, Mystery, Thriller",8.7,91,Invincible
