Genres,IMDb,Prime Video,Rotten Tomatoes,Title,Year,_id
"Drama,Sci-Fi,Thriller",6.6,true,65,Light of My Life,2019,616528458a2fde8299a2be7b
"Biography,Drama,Thriller",5.8,true,65,Seberg,2019,616528458a2fde8299a2be8f
"Action,Crime,Thriller",5.9,true,65,Night Hunter,2019,616528458a2fde8299a2be94
"Action,Adventure,Comedy",5.7,true,65,Jay and Silent Bob Reboot,2019,616528458a2fde8299a2be97
"Horror,Mystery,Thriller",4.8,true,65,Evil Eye,2020,616528458a2fde8299a2be98
"Biography,Drama,Romance",6.2,true,65,Radioactive,2020,616528458a2fde8299a2be9b
"Crime,Drama",6.2,true,65,"I'm Your Woman",2020,616528458a2fde8299a2be9c
"Action,Drama,Thriller",7.9,true,65,Virus,2019,616528458a2fde8299a2bea3
"Comedy,Horror,Mystery,Thriller",6,true,65,Come to Daddy,2020,616528458a2fde8299a2bea6
"Comedy,Crime,Mystery,Thriller",8.4,true,64,Agent Sai Srinivasa Athreya,2019,616528458a2fde8299a2beb8
"Comedy,Drama,Family",6.9,true,64,Troop Zero,2019,616528458a2fde8299a2bebe
"Comedy,Drama,Music,Musical,Thriller",6.7,true,64,Guava Island,2019,616528458a2fde8299a2bec2
"Drama,Romance",6.5,true,64,The Secret: Dare to Dream,2020,616528458a2fde8299a2bec8
"Drama,Romance",6.3,true,64,Chemical Hearts,2020,616528458a2fde8299a2beca
"Action,Adventure,Drama,Fantasy",5.9,true,64,Mortal,2020,616528458a2fde8299a2beec
"Action,Drama,History,Thriller,War",7.4,true,64,Kesari,2019,616528458a2fde8299a2beef
"Crime,Thriller",6,true,63,Arkansas,2020,616528458a2fde8299a2befa
"Adventure,Drama,Horror,Thriller",5,true,63,47 Meters Down: Uncaged,2019,616528458a2fde8299a2bf04
"Comedy,Drama,Music,Romance",6.3,true,63,Gloria Bell,2019,616528458a2fde8299a2bf0e
"Crime,Drama,Mystery,Thriller",5.8,true,62,The Vanishing,2019,616528458a2fde8299a2bf2b
Drama,7,true,61,Herself,2020,616528458a2fde8299a2bf60
"Crime,Drama,Fantasy,Horror,Mystery,Thriller",6.1,true,61,"Daniel Isn't Real",2019,616528458a2fde8299a2bf68
"Action,Crime,Thriller",7.5,true,61,Jallikattu,2019,616528458a2fde8299a2bf6a
"Crime,Thriller",6.1,true,61,Target Number One,2020,616528458a2fde8299a2bf78
"Action,Crime,Drama,Mystery,Thriller",7.7,true,61,HIT: The First Case,2020,616528458a2fde8299a2bf81
"Drama,Romance",8.3,true,61,Love Mocktail,2020,616528458a2fde8299a2bf8d
"Horror,Mystery,Sci-Fi,Thriller",6.2,true,61,Black Box,2020,616528458a2fde8299a2bf91
"Action,Biography,Drama,Thriller,War",5.9,true,61,The Kill Team,2019,616528458a2fde8299a2bf92
Drama,6.6,true,61,Blackbird,2019,616528458a2fde8299a2bf95
Documentary,7.6,true,61,Never Surrender: A Galaxy Quest Documentary,2019,616528458a2fde8299a2bf99
Drama,7.4,true,60,House of Hummingbird,2019,616528458a2fde8299a2bfa2
Documentary,7.1,true,60,Super Size Me 2: Holy Chicken!,2019,616528458a2fde8299a2bfa3
Documentary,7,true,60,Jasper Mall,2020,616528458a2fde8299a2bfae
"Action,Sci-Fi,Thriller",5.3,true,60,Monsters of Man,2020,616528458a2fde8299a2bfb6
"Crime,Drama,Mystery,Thriller",5.7,true,60,A Vigilante,2019,616528458a2fde8299a2bfc0
"Mystery,Romance,Thriller",6.3,true,60,The Fare,2019,616528458a2fde8299a2bfd2
"Action,Drama,Sport",7,true,60,Bigil,2019,616528458a2fde8299a2bfd3
Romance,8,true,60,Sufna,2020,616528458a2fde8299a2bfd7
Comedy,7.2,true,60,Jimmy O. Yang: Good Deal,2020,616528458a2fde8299a2bfde
"Comedy,Drama",6.6,true,60,Jawaani Jaaneman,2020,616528458a2fde8299a2bfe0
"Crime,Drama,Thriller",6.5,true,60,Back Roads,2019,616528458a2fde8299a2bfe2
Documentary,6.3,true,60,#UNFIT: The Psychology of Donald Trump,2020,616528458a2fde8299a2bfef
"Drama,Family",6.9,true,59,Storm Boy,2019,616528458a2fde8299a2bffb
"Action,Crime,Thriller",4.4,true,59,Escape Plan: The Extractors,2019,616528458a2fde8299a2c012
"Action,Thriller",5,true,59,Kill Chain,2020,616528458a2fde8299a2c01b
Thriller,4.9,true,59,Wander,2020,616528458a2fde8299a2c02f
"Horror,Mystery,Thriller",5.7,true,59,Nocturne,2020,616528458a2fde8299a2c035
"Action,Drama,Romance",7.4,true,58,Dear Comrade,2019,616528458a2fde8299a2c050
"Documentary,Biography,Music",7.3,true,58,Mystify: Michael Hutchence,2019,616528458a2fde8299a2c053
"Animation,Action,Adventure,Drama,Family,Fantasy",6.6,true,58,Jiang Ziya: The Legend of Deification,2020,616528458a2fde8299a2c06d
"Action,Drama",7.3,true,58,Maharshi,2019,616528458a2fde8299a2c07b
"Drama,Western",5.9,true,58,Never Grow Old,2019,616528458a2fde8299a2c08f
"Comedy,Drama",6.8,true,58,Chhalaang,2020,616528458a2fde8299a2c090
"Action,Crime,Drama,Thriller",4.5,true,58,Force of Nature,2020,616528458a2fde8299a2c091
"Comedy,Talk-Show",7.9,true,58,The Grand Tour Presents: A Massive Hunt,2020,616528458a2fde8299a2c095
"Drama,Thriller",6.3,true,57,Low Tide,2019,616528458a2fde8299a2c0ab
"Documentary,Biography,Music",7.6,true,57,Gordon Lightfoot: If You Could Read My Mind,2019,616528458a2fde8299a2c0ac
"Comedy,Drama,Mystery",6.3,true,57,Sometimes Always Never,2019,616528458a2fde8299a2c0c2
"Action,Adventure,Drama,History",7.4,true,57,Sye Raa Narasimha Reddy,2019,616528458a2fde8299a2c0d5
Comedy,7.6,true,57,Jim Gaffigan: Quality Time,2019,616528458a2fde8299a2c0d7
"Horror,Mystery,Thriller",5.7,true,57,The Dead Center,2019,616528458a2fde8299a2c0e2
Documentary,7.1,true,57,Missing 411: The Hunted,2019,616528458a2fde8299a2c0e4
Thriller,4.7,true,57,The Poison Rose,2019,616528458a2fde8299a2c0ea
Drama,6.4,true,57,The Kindness of Strangers,2019,616528458a2fde8299a2c0ed
Documentary,6.2,true,57,Close Encounters of the Fifth Kind,2020,616528458a2fde8299a2c0fd
"Comedy,Drama,Thriller",7.2,true,57,Driving Licence,2019,616528458a2fde8299a2c0ff
"Comedy,Drama",6.3,true,57,Gulabo Sitabo,2020,616528458a2fde8299a2c107
"Comedy,Romance",5.8,true,56,Shubh Mangal Zyada Saavdhan,2020,616528458a2fde8299a2c115
"Action,Comedy,Drama",6,true,56,Sarileru Neekevvaru,2020,616528458a2fde8299a2c11d
"Adventure,Fantasy",4.9,true,56,Abigail,2019,616528458a2fde8299a2c14c
Documentary,6.9,true,56,The Booksellers,2020,616528458a2fde8299a2c157
"Biography,Crime,Drama",4.7,true,56,Capone,2020,616528458a2fde8299a2c15b
"Action,Drama,History,War",6.3,true,56,15 Minutes of War,2019,616528458a2fde8299a2c15d
"Action,Comedy,Drama",4.9,true,56,Bharat,2019,616528458a2fde8299a2c163
"Comedy,Drama",5.7,true,55,Changeland,2019,616528458a2fde8299a2c170
Documentary,7.9,true,55,Andy Murray: Resurfacing,2019,616528458a2fde8299a2c174
"Comedy,Drama,Family,Sci-Fi",5.2,true,55,Think Like a Dog,2020,616528458a2fde8299a2c17c
"Biography,Drama,History",5.6,true,55,The Glorias,2020,616528458a2fde8299a2c182
"Action,Crime,Thriller",4.4,true,55,Domino,2019,616528458a2fde8299a2c18c
"Drama,Thriller",5.3,true,55,The Isle,2019,616528458a2fde8299a2c1a0
"Horror,Thriller",4.9,true,55,Pandemic,2020,616528458a2fde8299a2c1b2
"Action,Comedy,Drama,Musical,Romance",7.5,true,55,Ishq,2019,616528458a2fde8299a2c1c7
"Crime,Drama,Thriller",5.6,true,54,Blood on Her Name,2020,616528458a2fde8299a2c1ce
"Drama,Thriller,War",5.9,true,54,Waiting for Anya,2020,616528458a2fde8299a2c1db
"Comedy,Horror,Thriller",5.6,true,54,Seven Stages to Achieve Eternal Bliss,2020,616528458a2fde8299a2c1e0
"Crime,Thriller",4.1,true,54,The Fanatic,2019,616528458a2fde8299a2c1e1
"Action,Drama,Thriller",4.1,true,54,Survive the Night,2020,616528458a2fde8299a2c1e2
"Adventure,Family,Fantasy",6.4,true,54,The Ash Lad: In Search of the Golden Castle,2019,616528458a2fde8299a2c1e9
Comedy,6.9,true,54,Ujda Chaman,2019,616528458a2fde8299a2c1eb
"Documentary,Biography",7.4,true,54,Keith Haring: Street Art Boy,2020,616528458a2fde8299a2c1ed
Drama,7.4,true,54,Raatchasi,2019,616528458a2fde8299a2c1ef
Drama,4.9,true,54,Selah and the Spades,2019,616528458a2fde8299a2c1f6
Documentary,6.9,true,54,Citizen K,2019,616528458a2fde8299a2c221
"Drama,Horror,Thriller",6,true,54,M.O.M. Mothers of Monsters,2020,616528458a2fde8299a2c224
Documentary,6.9,true,53,Netflix vs. the World,2019,616528458a2fde8299a2c226
"Action,Crime",4.8,true,53,Toofan,2020,616528458a2fde8299a2c22e
"Comedy,Drama,Romance",6.3,true,53,Eternal Beauty,2020,616528458a2fde8299a2c23d
"Documentary,Music",7.4,true,53,Happiness Continues,2020,616528458a2fde8299a2c240
"Documentary,Biography,Music",5.9,true,53,The Boy from Medellín,2020,616528458a2fde8299a2c243
"Comedy,Mystery,Thriller",6.2,true,53,Extracurricular Activities,2019,616528458a2fde8299a2c245
"Crime,Drama,Thriller",5.6,true,53,The Corrupted,2019,616528458a2fde8299a2c247
Comedy,7.4,true,53,Sushi by Biswa Kalyan Rath,2019,616528458a2fde8299a2c24c
Crime,5.6,true,53,Once Upon a Time in London,2019,616528458a2fde8299a2c262
"Drama,Romance",7.2,true,53,Chitralahari,2019,616528458a2fde8299a2c263
Drama,5.9,true,53,More Beautiful for Having Been Broken,2020,616528458a2fde8299a2c272
"Crime,Drama,Mystery",5.3,true,53,Saving Zoë,2019,616528458a2fde8299a2c27f
"Fantasy,Horror,Thriller",4.8,true,53,Broil,2020,616528458a2fde8299a2c280
