Genres,IMDb,Prime Video,Rotten Tomatoes,Title,Year,_id
Comedy,6.8,true,44,Howie Mandel Presents Howie Mandel at the Howie Mandel Comedy Club,2019,616528458a2fde8299a2c6c8
Comedy,6.2,true,44,Alonzo Bodden: Heavy Lightweight,2019,616528458a2fde8299a2c6d6
"Animation,Adventure,Fantasy",5.5,true,44,Boonie Bears: Blast into the Past,2019,616528458a2fde8299a2c6e1
Horror,4,true,44,Black Pumpkin,2020,616528458a2fde8299a2c6e6
"Action,Thriller",5.1,true,44,Mikhael,2019,616528458a2fde8299a2c6e9
"Action,Drama,Romance",3.6,true,44,Marjaavaan,2019,616528458a2fde8299a2c6f7
Western,4.7,true,44,Any Bullet Will Do,2019,616528458a2fde8299a2c6fb
"Comedy,Horror",3.7,true,44,Beast Mode,2020,616528458a2fde8299a2c70e
Drama,4.2,true,44,Elyse,2020,616528458a2fde8299a2c728
Drama,4.6,true,43,Darling Nikki,2019,616528458a2fde8299a2c73d
Documentary,7.3,true,43,The Pollinators,2019,616528458a2fde8299a2c73e
"Drama,Family",5.3,true,43,Useless,2020,616528458a2fde8299a2c745
"Drama,Musical,Romance",5.5,true,43,Sufiyum Sujatayum,2020,616528458a2fde8299a2c74d
Action,3.1,true,43,Atone,2019,616528458a2fde8299a2c75e
"Comedy,Romance",4.9,true,43,False Hopes,2020,616528458a2fde8299a2c773
Comedy,6.2,true,43,Joel Mchale: Live from Pyongyang,2019,616528458a2fde8299a2c776
Documentary,4.8,true,43,Extraordinary: The Seeding,2019,616528458a2fde8299a2c777
"Horror,Thriller",3.6,true,43,Smiley Face Killers,2020,616528458a2fde8299a2c791
"Drama,Music,Romance",4.6,true,43,Pearl,2020,616528458a2fde8299a2c793
Documentary,6.4,true,43,Rolling Stone: Life and Death of Brian Jones,2019,616528458a2fde8299a2c7a0
Documentary,4.9,true,43,Black Boys,2020,616528458a2fde8299a2c7a3
"Documentary,Biography,History,Music",7.5,true,43,Melody Makers,2019,616528458a2fde8299a2c7aa
Documentary,5.4,true,43,"Don't Call Me Bigfoot",2020,616528458a2fde8299a2c7ac
Thriller,5.6,true,43,LAW,2020,616528458a2fde8299a2c7ad
Drama,5.6,true,43,For the Love of Jessee,2020,616528458a2fde8299a2c7b5
Thriller,4.3,true,43,Sinful,2020,616528458a2fde8299a2c7ba
"Documentary,Crime",3.7,true,43,Relentless,2020,616528458a2fde8299a2c7c0
Romance,5.8,true,43,Love by Accident,2020,616528458a2fde8299a2c7cc
Comedy,7.4,true,43,Bryan Callen: Complicated Apes,2019,616528458a2fde8299a2c7cd
Comedy,6.1,true,43,Gina Brillon: The Floor Is Lava,2020,616528458a2fde8299a2c7d1
"Crime,Thriller",4.1,true,43,"By Night's End",2020,616528458a2fde8299a2c7d6
"Horror,Mystery,Thriller",3.7,true,43,The Stalker,2020,616528458a2fde8299a2c7d9
Thriller,6.7,true,42,Babru,2019,616528458a2fde8299a2c7e4
"Horror,Sci-Fi",3.3,true,42,Solar Impact: The Destruction of London,2019,616528458a2fde8299a2c7e6
Documentary,8.6,true,42,Ostatni ludzie Czarnobyla 2,2019,616528458a2fde8299a2c7f4
"Adventure,Comedy,Family,Fantasy",5.3,true,42,Four Enchanted Sisters,2020,616528458a2fde8299a2c7f9
"Drama,War",4.5,true,42,Escape and Evasion,2019,616528458a2fde8299a2c7ff
Thriller,4.9,true,42,A Stone in the Water,2019,616528458a2fde8299a2c80e
"Comedy,Horror",4.3,true,42,Lillith,2019,616528458a2fde8299a2c824
Romance,4.5,true,42,Home for Harvest,2019,616528458a2fde8299a2c82b
Comedy,5.5,true,42,Alice Wetterlund: My Mama Is a Human and So Am I,2019,616528458a2fde8299a2c833
Thriller,3.9,true,42,Copper Bill,2020,616528458a2fde8299a2c835
Documentary,5.6,true,42,Iliza Shlesinger: Over & Over,2019,616528458a2fde8299a2c840
"Comedy,Drama",5.1,true,42,CRSHD,2019,616528458a2fde8299a2c846
Comedy,4.9,true,42,Locas por el Cambio,2020,616528458a2fde8299a2c84c
Horror,6.7,true,42,Werewolf,2020,616528458a2fde8299a2c84e
"Action,Sci-Fi",2.3,true,42,Meteor Moon,2020,616528458a2fde8299a2c854
Horror,3.2,true,42,The Haunting of Borley Rectory,2019,616528458a2fde8299a2c856
"Comedy,Drama",6.6,true,42,DIVOS!,2020,616528458a2fde8299a2c859
"Animation,Action,Adventure,Family",5.6,true,42,Space Dogs: Tropical Adventure,2020,616528458a2fde8299a2c85e
Romance,5.7,true,42,Snowbound for Christmas,2019,616528458a2fde8299a2c863
"Comedy,Mystery",4.8,true,42,Lost Holiday,2019,616528458a2fde8299a2c864
Comedy,5.7,true,42,Papam Cheyyathavar Kalleriyatte,2020,616528458a2fde8299a2c868
"Comedy,Crime,Drama",,true,42,99,2019,616528458a2fde8299a2c86a
"Crime,Drama,Mystery,Thriller",5.7,true,42,The Devil to Pay,2020,616528458a2fde8299a2c86f
Action,5.2,true,42,Break Even,2020,616528458a2fde8299a2c877
"Comedy,Romance",5.4,true,42,Still Today,2020,616528458a2fde8299a2c882
Drama,4.7,true,42,Josie & Jack,2019,616528458a2fde8299a2c884
"Comedy,Drama,Family,Romance",6.6,true,41,"Love, Repeat",2020,616528458a2fde8299a2c88e
Comedy,6.7,true,41,Mike E. Winfield: Stepman,2019,616528458a2fde8299a2c88f
"Action,Thriller",4.1,true,41,Double Down,2020,616528458a2fde8299a2c893
Action,3.3,true,41,Vinaya Vidheya Rama,2019,616528458a2fde8299a2c8a5
"Action,Drama",5,true,41,The Man from Kathmandu,2020,616528458a2fde8299a2c8ab
"Drama,Horror",3.6,true,41,The Curse of Hobbes House,2020,616528458a2fde8299a2c8b9
Drama,6.4,true,41,All In,2019,616528458a2fde8299a2c8d3
Drama,4.7,true,41,Subira,2019,616528458a2fde8299a2c8d4
Drama,6.4,true,41,A Promise To Astrid,2019,616528458a2fde8299a2c8e8
"Adventure,Family",4.5,true,41,Skydog,2020,616528458a2fde8299a2c901
"Drama,Horror,Mystery,Thriller",4.2,true,41,Armageddon Gospels,2019,616528458a2fde8299a2c902
"Crime,Drama,Mystery,Romance,Thriller",5.3,true,41,All Good Things,2019,616528458a2fde8299a2c904
"Drama,Horror,Thriller",6.3,true,41,Found.,2020,616528458a2fde8299a2c916
"Adventure,Comedy,Family,Fantasy,Romance",4.2,true,41,Nicole,2019,616528458a2fde8299a2c924
"Horror,Mystery,Thriller",2.8,true,41,Dead Voices,2020,616528458a2fde8299a2c928
,7.6,true,40,"Barry Brewer: Chicago, I'm Home",2019,616528458a2fde8299a2c931
"Documentary,Biography",3.9,true,40,Jennifer Aniston: More Than Friends,2020,616528458a2fde8299a2c932
"Comedy,Drama",4.6,true,40,Ruta Madre,2019,616528458a2fde8299a2c93d
"Action,Crime,Drama",4.1,true,40,Respite,2020,616528458a2fde8299a2c93f
Horror,2.9,true,40,A Deadly Legend,2020,616528458a2fde8299a2c95a
Horror,3.2,true,40,Curse of the Blind Dead,2019,616528458a2fde8299a2c960
Horror,3,true,40,One Remains,2019,616528458a2fde8299a2c962
,4.9,true,40,Jill-Michele Meleán: White / Latina,2019,616528458a2fde8299a2c968
Romance,3.3,true,40,Christmas Coupon,2019,616528458a2fde8299a2c96b
"Comedy,Family",4.1,true,40,Selfie Dad,2020,616528458a2fde8299a2c971
Comedy,,true,40,Hannibal Thompson: Out of Control,2020,616528458a2fde8299a2c973
Comedy,5.8,true,40,#IMomSoHard Live,2019,616528458a2fde8299a2c974
"Crime,Thriller",5,true,40,Righteous Villains,2020,616528458a2fde8299a2c979
"Drama,Horror,Thriller",4.8,true,40,Ragmork,2019,616528458a2fde8299a2c97d
Action,6.3,true,40,Pocket Full of Game,2020,616528458a2fde8299a2c985
"Action,Crime",5.9,true,40,DSP Dev,2019,616528458a2fde8299a2c988
"Comedy,Drama,Fantasy,Romance",3.3,true,40,Goblin,2020,616528458a2fde8299a2c991
Drama,3.6,true,40,Becoming Burlesque,2019,616528458a2fde8299a2c99c
Documentary,5.8,true,40,Underplayed,2020,616528458a2fde8299a2c9ac
Documentary,7.5,true,39,Tails of Iceland,2019,616528458a2fde8299a2c9c0
Comedy,6.8,true,39,Greg Warren: Where the Field Corn Grows,2020,616528458a2fde8299a2c9cd
Comedy,3.2,true,39,Interviewing Monsters and Bigfoot,2020,616528458a2fde8299a2c9d0
Comedy,7.2,true,39,Kim McVicar: Please Notice Me,2020,616528458a2fde8299a2c9da
"Drama,Family",5.6,true,39,The Christmas Ride,2020,616528458a2fde8299a2c9e7
"Comedy,Sport",5.5,true,39,First One In,2020,616528458a2fde8299a2c9eb
"Comedy,Family",6,true,39,Mary for Mayor,2020,616528458a2fde8299a2c9ff
Drama,5.5,true,39,Price of Love,2020,616528458a2fde8299a2ca03
Comedy,7,true,39,Matt Besser: Pot Humor,2019,616528458a2fde8299a2ca0a
"Crime,Drama,Thriller",3.3,true,39,15 Killings,2020,616528458a2fde8299a2ca23
Documentary,6.5,true,39,The Beer Jesus from America,2019,616528458a2fde8299a2ca28
Comedy,7.6,true,39,Jon Reep: Ginger Beard Man,2019,616528458a2fde8299a2ca37
"Crime,Drama,Mystery,Thriller",6.2,true,39,Where Sleeping Dogs Lie,2019,616528458a2fde8299a2ca39
"Action,Crime,Drama,Thriller",6.7,true,39,Son of a Gun,2019,616528458a2fde8299a2ca4c
Horror,5.1,true,38,Midnight Devils,2020,616528458a2fde8299a2ca55
"Action,Crime",3.8,true,38,Narco Soldiers,2019,616528458a2fde8299a2ca5a
Comedy,,true,38,William Lee Martin: The Nutcracker,2019,616528458a2fde8299a2ca6d
Comedy,6.4,true,38,"Tammy Pescatelli's Way After School Special",2020,616528458a2fde8299a2ca79
Horror,3.5,true,38,Tales of Found Footage,2019,616528458a2fde8299a2ca9d
Documentary,6.9,true,38,The Days of Noah Part 2: Judgment Hour,2019,616528458a2fde8299a2cab5
"Drama,Family",5.5,true,38,Miracle on Highway 34,2020,616528458a2fde8299a2cacb
Comedy,5.3,true,37,A New Husband for Christmas,2020,616528458a2fde8299a2cacf
"Crime,Drama,Mystery,Romance",5.8,true,37,Turned Out,2019,616528458a2fde8299a2cae4
Comedy,6.7,true,37,Jay Mohr: American Treasure,2020,616528458a2fde8299a2caf0
"Comedy,Drama,Romance",3.3,true,37,A Room Full of Nothing,2019,616528458a2fde8299a2cafa
Sci-Fi,2.4,true,37,Android Uprising,2020,616528458a2fde8299a2cb04
Horror,4.4,true,37,Doppel,2020,616528458a2fde8299a2cb0a
Drama,4.8,true,37,Elodie,2019,616528458a2fde8299a2cb1c
Drama,5.4,true,36,The Phoenix,2020,616528458a2fde8299a2cb32
Drama,5.9,true,36,Lady of Guadalupe,2020,616528458a2fde8299a2cb40
"Comedy,Romance",3.6,true,36,First Lady,2020,616528458a2fde8299a2cb46
"Drama,Thriller",4.7,true,36,Painter,2020,616528458a2fde8299a2cb48
"Comedy,Family,Fantasy",3.9,true,36,Elfette Saves Christmas,2019,616528458a2fde8299a2cb4e
Comedy,8.5,true,36,Nicole Burch: Never Been Kissed,2020,616528458a2fde8299a2cb50
Romance,6.3,true,36,Choosi Choodangaane,2020,616528458a2fde8299a2cb51
"Action,Comedy,Drama,Romance,Sport",2.2,true,36,Student of the Year 2,2019,616528458a2fde8299a2cb52
"Animation,Family,Fantasy",1.1,true,36,Finding Jesus,2020,616528458a2fde8299a2cb5b
,6.7,true,36,Black History Activators,2020,616528458a2fde8299a2cb5c
"Comedy,Horror",2.5,true,36,Scary Bride,2020,616528458a2fde8299a2cb61
Documentary,7.3,true,36,The Great Cookie Comeback: Rebaking Wally Amos,2020,616528458a2fde8299a2cb68
Drama,6.6,true,36,Diamond in the Rough,2019,616528458a2fde8299a2cb6a
Comedy,6.8,true,36,Marina Franklin: Single Black Female,2019,616528458a2fde8299a2cb72
"Action,Sci-Fi",2.4,true,36,Immortal Combat the Code,2019,616528458a2fde8299a2cb7f
Drama,3.3,true,36,Intolerance: No More,2020,616528458a2fde8299a2cb81
Animation,2.3,true,36,Trump vs the Illuminati,2020,616528458a2fde8299a2cb84
Documentary,7,true,35,"Stro: The Michael D'Asaro Story",2020,616528458a2fde8299a2cb89
Comedy,6.9,true,35,Elliott Morgan: Holy Shit,2019,616528458a2fde8299a2cb8c
Comedy,3.9,true,35,Hawk and Rev: Vampire Slayers,2020,616528458a2fde8299a2cb97
Comedy,6.7,true,35,William Lee Martin: Standing in the Middle,2019,616528458a2fde8299a2cba3
"Drama,Thriller",6.8,true,35,The Dance,2019,616528458a2fde8299a2cbac
Comedy,3.4,true,35,La pachanga,2019,616528458a2fde8299a2cbb3
Comedy,5.6,true,34,Claudia Oshry: Disgraced Queen,2020,616528458a2fde8299a2cbbc
Documentary,4.4,true,34,Superintelligence: Beyond Human,2019,616528458a2fde8299a2cbc6
"Comedy,Drama",5,true,34,1/2 New Year,2019,616528458a2fde8299a2cbc9
"Crime,Drama,Thriller",5.2,true,34,Drastic Measures,2019,616528458a2fde8299a2cbcf
Thriller,1.6,true,34,Terror at Bigfoot Pond,2020,616528458a2fde8299a2cbd0
Documentary,4.6,true,33,The Reunited States,2020,616528458a2fde8299a2cbd5
Comedy,4.2,true,33,La Sucursal,2019,616528458a2fde8299a2cbd6
Comedy,7.2,true,33,Matt Braunger: Finally Live in Portland,2019,616528458a2fde8299a2cbe5
"Action,Comedy,Sci-Fi",2.5,true,32,Konga TNT,2020,616528458a2fde8299a2cbe9
Drama,4.9,true,32,Modern Prodigal,2019,616528458a2fde8299a2cbea
Documentary,4,true,31,Brash Boys Club,2020,616528458a2fde8299a2cbf1
Crime,,true,17,A risky revenge,2019,616528458a2fde8299a2cc09
Comedy,,true,15,Josh Blue: Broccoli,2020,616528458a2fde8299a2cc16
"Short,Comedy",,true,15,Anxiety Feast,2020,616528458a2fde8299a2cc1a
"Animation,Comedy,Family",,true,13,Halloween Bug-A-Boo!,2020,616528458a2fde8299a2cc29
"Comedy, Romance",8,true,,Modern Love,2019,616529b68a2fde8299a2d0fb
"Adventure, Drama, Mystery",7.4,true,,The Wilds,2020,616529b68a2fde8299a2d18d
"Action, Drama, Mystery, Sci-Fi, Thriller",6.7,true,,Utopia,2020,616529b68a2fde8299a2d19c
"Drama, Sci-Fi, Thriller",7.1,true,,Brave New World,2020,616529b68a2fde8299a2d1a1
