Genres,Hulu,IMDb,Rotten Tomatoes,Title,Year,_id
Documentary,true,7.7,64,Totally Under Control,2020,616528458a2fde8299a2ba86
"Biography,Drama,Sport",true,7.2,63,Brian Banks,2019,616528458a2fde8299a2ba8b
Documentary,true,7.3,63,Hail Satan?,2019,616528458a2fde8299a2ba8e
"Drama,Sci-Fi",true,6.2,63,Aniara,2019,616528458a2fde8299a2ba91
"Drama,Romance",true,7.1,63,Two of Us,2019,616528458a2fde8299a2ba98
"Crime,Drama,Thriller",true,5.7,63,The Postcard Killings,2020,616528458a2fde8299a2ba9b
"Drama,Mystery,Thriller",true,6.4,63,Angel of Mine,2019,616528458a2fde8299a2baa0
"Drama,Romance,War",true,6.9,63,Moffie,2020,616528458a2fde8299a2baa8
"Documentary,Biography",true,7.5,63,I Am Greta,2020,616528458a2fde8299a2baa9
Documentary,true,7.6,62,The Painter and the Thief,2020,616528458a2fde8299a2baae
"Comedy,Drama",true,6.3,62,Buffaloed,2020,616528458a2fde8299a2bab0
"Comedy,Drama,Horror,Thriller",true,6.2,62,Villains,2019,616528458a2fde8299a2bab2
"Biography,Drama,Western",true,5.9,62,The Kid,2019,616528458a2fde8299a2bab4
Comedy,true,5.5,62,The Beach Bum,2019,616528458a2fde8299a2bab6
Sci-Fi,true,4.9,62,2067,2020,616528458a2fde8299a2bab7
"Animation,Action,Adventure,Comedy,Family,Fantasy,Sci-Fi",true,6.9,62,Teen Titans Go! vs. Teen Titans,2019,616528458a2fde8299a2bab8
Western,true,6,62,Cowboys,2020,616528458a2fde8299a2baba
"Adventure,Drama,Sci-Fi,War",true,5.7,62,The Man Who Killed Hitler and Then the Bigfoot,2019,616528458a2fde8299a2babc
Comedy,true,5.2,62,The Binge,2020,616528458a2fde8299a2babf
"Action,Adventure,Drama,Sci-Fi",true,6.4,62,Proxima,2019,616528458a2fde8299a2bac4
Thriller,true,4.8,61,The Courier,2019,616528458a2fde8299a2bacc
"Action,Crime,Drama,Thriller",true,4.8,61,The Tax Collector,2020,616528458a2fde8299a2bad5
"Comedy,Crime,Drama,Horror,Thriller",true,5.9,61,Spree,2020,616528458a2fde8299a2bad9
"Drama,History",true,7.3,61,Dear Comrades!,2020,616528458a2fde8299a2bada
"Comedy,Romance",true,6.4,61,Ode to Joy,2019,616528458a2fde8299a2badd
"Action,Adventure,Horror,Sci-Fi,Thriller",true,7.5,61,The Cave,2019,616528458a2fde8299a2bae3
"Comedy,Drama,Romance",true,5.6,61,Wild Mountain Thyme,2020,616528458a2fde8299a2bae6
"Adventure,Comedy,Sci-Fi",true,5.8,61,Save Yourselves!,2020,616528458a2fde8299a2bae7
"Comedy,Horror,Thriller",true,5.4,60,12 Hour Shift,2020,616528458a2fde8299a2bae9
"Crime,Drama,Thriller",true,7.1,60,Beasts Clawing at Straws,2020,616528458a2fde8299a2baed
Drama,true,6.5,60,Clemency,2019,616528458a2fde8299a2baf4
"Drama,Horror,Mystery,Sci-Fi",true,5.6,60,Books of Blood,2020,616528458a2fde8299a2baf7
"Drama,Family,Fantasy",true,5.5,60,The Secret Garden,2020,616528458a2fde8299a2baf8
"Horror,Thriller",true,6.2,60,Rent-A-Pal,2020,616528458a2fde8299a2baf9
Drama,true,5.9,60,Waiting for the Barbarians,2019,616528458a2fde8299a2bafa
"Drama,Music",true,6.1,60,Teen Spirit,2019,616528458a2fde8299a2bafc
