Genres,IMDb,Rotten Tomatoes,Title
"Biography,Crime,Drama",7.8,98,The Irishman
"Crime,Drama,Mystery,Thriller",8.2,92,Article 15
"Biography,Comedy,Drama",7.3,92,Dolemite Is My Name
"Documentary,Crime,Music",7.2,91,Fyre
"Biography,Drama,History,Romance,War",7.2,90,The King
"Drama,Mystery,Sci-Fi,Thriller",6.7,89,I Am Mother
"Drama,Thriller",7.6,89,Tell Me Who I Am
"Animation,Drama,Fantasy,Romance",7.6,89,I Lost My Body
"Biography,Drama,History",7.6,89,The Boy Who Harnessed the Wind
"Comedy,Romance",6.8,88,Always Be My Maybe
Comedy,8.2,87,Bill Burr: Paper Tiger
"Comedy,Crime,Drama,Thriller",8.4,87,Super Deluxe
Documentary,7.4,86,American Factory
"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi",6.8,86,A Shaun the Sheep Movie: Farmageddon
"Animation,Action,Adventure,Comedy,Family,Sci-Fi",7.5,86,Invader ZIM: Enter the Florpus
Comedy,8.5,84,Dave Chappelle: Sticks & Stones
"Comedy,Drama",7.2,84,Paddleton
"Documentary,History",7.2,83,The Edge of Democracy
"Comedy,Drama,Romance",7.9,83,Marriage Story
"Action,Drama,History,Thriller,War",7.2,82,The Endless Trench
"Documentary,Biography,History",7.1,81,Circus of Books
"Crime,Drama,Thriller",7.4,80,Uncut Gems
"Drama,Romance",7.6,80,The Sky Is Pink
"Crime,Drama,Mystery,Thriller",7.8,80,Badla
"Biography,Comedy,Drama,Music",7,79,The Dirt
"Drama,Mystery,Romance",6.7,79,Atlantics
Drama,7.3,79,37 Seconds
"Action,Crime,Drama",7.3,79,El Camino: A Breaking Bad Movie
"Drama,Horror,Thriller",5.6,79,Get In
"Documentary,Biography,Music",7.5,79,"ZZ Top: That Little Ol' Band From Texas"
Comedy,7.7,78,Mike Birbiglia: The New One
"Animation,Adventure,Comedy,Family",8.2,78,Klaus
Biography,7.4,78,Miles Davis: Birth of the Cool
Documentary,7.1,78,Screwball
"Documentary,Crime",7.1,77,Roll Red Roll
Drama,8.2,77,Miracle in Cell No. 7
Documentary,7.3,77,Trixie Mattel: Moving Parts
Drama,7.1,77,Evelyn
"Crime,Mystery,Sci-Fi,Thriller",6.2,77,In the Shadow of the Moon
"Action,Comedy,Crime,Mystery,Romance",6,76,Murder Mystery
"Comedy,Drama",7.6,76,The Two Popes
"Action,Adventure,Sci-Fi,Thriller",6,76,The Wandering Earth
Thriller,6.6,76,Eye for an Eye
"Action,Thriller",6.1,75,6 Underground
"Action,Drama",7.3,75,Petta
"Documentary,Crime",6.7,75,"Bikram: Yogi, Guru, Predator"
"Action,Thriller",6.4,75,Angel Has Fallen
"Drama,History,Thriller",6.6,75,The Red Sea Diving Resort
"Adventure,Comedy,Drama,Family,Romance,Sport",7.1,74,Game Over
"Biography,Crime,Drama,Thriller",6.7,74,"Extremely Wicked, Shockingly Evil and Vile"
Comedy,6.1,74,Between Two Ferns: The Movie
"Crime,Drama",7.1,73,Soni
"Comedy,Romance",5.8,73,Let It Snow
Documentary,7.1,73,Knock Down the House
"Action,Crime,Drama,Thriller",6.3,73,Polar
"Biography,Crime,Drama,Mystery,Thriller",6.9,73,The Highwaymen
"Biography,Drama",7.3,73,The Professor and the Madman
"Mystery,Thriller",6.4,73,Fractured
"Comedy,Romance",5.8,72,The Perfect Date
"Action,Crime,Drama,Sci-Fi,Thriller",6.1,72,Code 8
"Action,Adventure,Crime,Thriller",6.4,72,Triple Frontier
"Drama,Mystery,Sci-Fi,Thriller",6.7,72,Freaks
"Drama,Romance",5.3,71,After
