Genres,IMDb,Rotten Tomatoes,Title
"Horror,Mystery,Thriller",5.7,71,Velvet Buzzsaw
"Comedy,Drama",7.2,71,"Live Twice, Love Once"
"Action,Adventure,Drama,Fantasy",6.8,71,The Outpost
"Action,Drama,Romance",7.1,71,Kabir Singh
"Documentary,Music",7.5,71,Homecoming: A Film by Beyoncé
"Action,Biography,Drama,History",7,71,Ip Man 4: The Finale
"Comedy,Crime,Drama,History",6.3,71,The Laundromat
Documentary,7.9,70,The Game Changers
Comedy,7.2,70,Michelle Wolf: Joke Show
"Biography,Drama,History",7.2,70,The Best of Enemies
"Comedy,Romance",6.2,70,"Faith, Hope & Love"
Documentary,7.2,70,Grass is Greener
Drama,7.8,70,System Crasher
"Comedy,Drama",5.6,70,An Easy Girl
Documentary,6.7,70,"There's Something in the Water"
Comedy,5.9,69,"Frankenstein's Monster's Monster, Frankenstein"
"Documentary,Biography,History",7,69,The Great Hack
"Crime,Drama,Horror,Thriller",6.3,69,The Forest of Love
Documentary,8,68,The Silence of Others
"Animation,Action,Adventure,Family,Fantasy,Thriller",7.5,68,Ne Zha
"Documentary,Biography,History,Music",7.6,68,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese
"Comedy,Romance",6.2,68,Someone Great
"Animation,Adventure,Comedy,Family",6.4,67,The Angry Birds Movie 2
"Comedy,Drama,Romance",5.5,67,Ek Ladki Ko Dekha Toh Aisa Laga
"Action,Adventure,Sci-Fi,Thriller",6.9,67,"The Wolf's Call"
"Comedy,Family,Musical",7.5,67,John Mulaney & The Sack Lunch Bunch
Drama,6.9,67,The Body Remembers When the World Broke Open
"Drama,Romance,Thriller",6.6,66,Ophelia
Comedy,6.5,66,Kevin Hart: Irresponsible
"Horror,Mystery,Sci-Fi,Thriller",5.4,66,In the Tall Grass
"Adventure,Comedy,Drama",7,66,Then Came You
"Comedy,Reality-TV",5.9,66,Jenny Slate: Stage Fright
"Drama,Sport",6.2,66,High Flying Bird
"Drama,Horror,Sci-Fi,Thriller",5.3,65,The Silence
"Short,Comedy,Music,Sport",6.9,65,The Lonely Island Presents: The Unauthorized Bash Brothers Experience
"Action,Drama,Thriller",5.7,65,Close
"Comedy,Crime,Drama,Music",6.4,65,Beats
"Action,Adventure,Crime,Drama,Sci-Fi,Thriller",5.2,65,See You Yesterday
"Comedy,Drama",6.1,65,"Yes, God, Yes"
Documentary,7.7,65,Last Breath
Comedy,6.1,65,Otherhood
Documentary,7.8,64,Fantastic Fungi
Documentary,6.8,64,David Foster: Off the Record
"Crime,Drama",7.6,64,A Sun
"Drama,Horror,Mystery,Thriller",5.7,64,Eli
Drama,5.8,64,American Son
"Crime,Drama,Thriller",5.9,64,Rust Creek
"Comedy,Drama,Music",7,64,Fisherman’s Friends
"Action,Crime",6.6,64,Avengement
"Crime,Drama",5.4,64,Lying and Stealing
Drama,5.3,64,Who Would You Take to a Deserted Island?
"Drama,Horror,Romance",6.5,63,Inhuman Kiss
"Comedy,Drama,Romance",6.1,63,Holiday in the Wild
"Drama,Thriller",6.2,63,The Hummingbird Project
"Action,Biography,Crime,Drama",6.5,63,Master Z: Ip Man Legacy
"Comedy,Crime,Romance",6.3,63,Furie
"Drama,Horror,Mystery,Thriller",8.2,63,The Blue Elephant Part 2
"Documentary,Music",7.4,63,"Everybody's Everything"
Documentary,7.4,63,Capital in the Twenty-First Century
"Action,Adventure,Comedy,Sci-Fi",5.2,63,Rim of the World
"Animation,Drama,Family",7.5,63,Violet Evergarden: Eternity and the Auto Memory Doll
Comedy,7.8,62,Aziz Ansari: Right Now
"Horror,Mystery,Thriller,Western",5.6,62,The Wind
"Action,Drama,Mystery,Thriller",5.7,62,The Operative
"Adventure,Horror,Mystery,Sci-Fi,Thriller",5.8,62,Sweetheart
"Action,Thriller",5.6,62,Triple Threat
"Comedy,Drama",6.3,62,Sword of Trust
Drama,8,62,Uyare
"Comedy,Drama",6.5,62,Chopsticks
"Comedy,Romance",5.6,62,Falling Inn Love
"Adventure,Comedy,Drama",5.5,61,Wine Country
"Comedy,Drama",5.9,61,4 latas
"Comedy,Romance",5.6,61,The Last Summer
Comedy,7.5,61,Seth Meyers: Lobby Baby
Drama,7.3,61,"I'm No Longer Here"
Sport,5.9,61,"Bennett's War"
Documentary,8.3,61,Dancing with the Birds
Comedy,7.2,61,Wanda Sykes: Not Normal
"Drama,Thriller",8.5,61,Oththa Seruppu Size 7
"Crime,Drama,Mystery,Romance,Thriller",5.9,61,Earthquake Bird
"Crime,Thriller",6.3,60,The Legacy of the Bones
"Comedy,Romance",6.3,60,Luka Chuppi
"Drama,Horror,Mystery,Thriller",5.1,60,Polaroid
Documentary,7.4,60,This Changes Everything
"Animation,Adventure,Family",6.6,60,Dragon Quest: Your Story
"Documentary,Music",6.9,60,Echo in the Canyon
Thriller,5.8,60,The Wedding Guest
"History,Sport,Thriller",6.2,60,The Coldest Game
"Adventure,Comedy,Drama,Fantasy,Romance",5.6,60,The Knight Before Christmas
"Comedy,Drama,Fantasy,Romance,Sport",7.2,60,Seventeen
"Action,Crime,Thriller",5.6,60,Inside Man: Most Wanted
"Drama,Romance",7.1,60,Tune in for Love
"Action,Drama,Thriller",6.6,60,Romeo Akbar Walter
"Adventure,Drama,Sci-Fi",4.7,59,IO
"Comedy,Romance",6.9,59,Straight Up
"Animation,Action,Adventure,Comedy,Family",7,59,"Rocko's Modern Life: Static Cling"
Comedy,7,59,Anthony Jeselnik: Fire in the Maternity Ward
"Crime,Drama,Mystery,Thriller",8.6,59,K. D.
Comedy,7.4,59,Ronny Chieng: Asian Comedian Destroys America!
"Drama,Thriller",6.4,59,Mine 9
"Biography,Drama",7.5,59,The Grizzlies
"Documentary,Music",7.3,59,ReMastered: The Two Killings of Sam Cooke
"Documentary,Biography,Drama",6.4,59,Framing John DeLorean
"Animation,Adventure,Drama,Family,Fantasy,Mystery,Sci-Fi",6.5,59,Children of the Sea
"Drama,Mystery",6.2,59,A Land Imagined
"Action,Adventure,Comedy,Sci-Fi",5,58,Iron Sky: The Coming Race
Drama,5.5,58,Burning Cane
Thriller,5.8,58,Strange But True
"Horror,Music,Thriller",5.2,58,We Summon the Darkness
"Animation,Action,Family,Fantasy",5.7,58,Pokémon: Mewtwo Strikes Back - Evolution
"Biography,Drama,Sport",7,58,Ride Like a Girl
"Comedy,Drama,Fantasy",6.3,58,The Man Without Gravity
Comedy,6.9,58,Deon Cole: Cole Hearted
"Drama,Romance",7.4,58,"Hello, Love, Goodbye"
"Biography,Drama,Mystery",6.4,57,Memories of a Teenager
Documentary,7.4,57,The Black Godfather
"Action,Crime,Drama,Thriller",5.7,57,Point Blank
Comedy,7.1,57,Aykut Enişte
"Comedy,Family,Fantasy,Music,Romance",5.3,57,A Cinderella Story: Christmas Wish
Comedy,5.9,57,Ready to Mingle
"Drama,Horror,Mystery",4.6,57,Girl on the Third Floor
"Horror,Mystery,Thriller",6.3,57,Svaha: The Sixth Finger
Sci-Fi,4.5,57,3022
"Animation,Adventure,Comedy,Family,Music",5.9,57,Dog Gone Trouble
Biography,6.1,57,Kardec
"Comedy,Drama,Family,Romance",5.2,57,Tall Girl
"Drama,Romance",6.8,56,Alone/Together
"Action,Comedy",7.4,56,Mard Ko Dard Nahi Hota
"Horror,Thriller",6,56,122
"Documentary,Short",7.4,56,The Irishman: In Conversation
Documentary,8.8,56,Rubaru Roshni
Comedy,7.3,56,Jimmy Carr: The Best of Ultimate Gold Greatest Hits
"Comedy,Drama",6.4,56,School Life
"Family,Romance",5.4,56,A Christmas Prince: The Royal Baby
"Documentary,Biography",7.1,56,"El Pepe, A Supreme Life"
Comedy,5.2,56,Amy Schumer: Growing
"Drama,Romance",8.1,56,Sillu Karupatti
"Horror,Thriller",5.6,56,The Last Laugh
"Drama,Mystery,Thriller",6.1,55,The Same Blood
"Action,Adventure,Crime,Horror,Thriller",4.9,55,The Silence of the Marsh
"Action,Adventure,Horror,Sci-Fi,Thriller",3.7,55,Doom: Annihilation
Biography,8.4,55,Mallesham
Comedy,6,55,Organize İşler: Sazan Sarmalı
"Action,Drama,War",5.7,55,Jarhead: Law of Return
"Drama,Romance",7,55,Dreamy Eyes
Documentary,7.6,55,The Crystal Calls - Making The Dark Crystal: Age of Resistance
Comedy,4.4,55,Sextuplets
Comedy,7.3,55,Gabriel Iglesias: One Show Fits All
"Horror,Mystery,Thriller",4.9,55,Mercy Black
Comedy,7.6,55,Nate Bargatze: The Tennessee Kid
Comedy,7.1,55,Sebastian Maniscalco: Stay Hungry
"Documentary,Music",6.3,55,Travis Scott: Look Mom I Can Fly
"Documentary,Short",7.4,55,Fire in Paradise
"Crime,Drama",6.1,55,The Ruthless
"Crime,Thriller",4.8,55,Kidnapping Stella
Comedy,6.9,55,Jeff Dunham: Beside Himself
"Biography,Drama,Romance",6.6,55,Elisa & Marcela
"Action,Adventure,Crime,Drama,Horror,Mystery,Thriller",5.2,54,Twin Murders: The Silence of the White City
Western,5.5,54,Badland
"Drama,Romance",7.2,54,Happy Old Year
"Comedy,Drama",7.2,54,The Lift Boy
"Drama,Romance",5,54,Maria
Drama,7.3,54,"Kalel, 15"
"Crime,Thriller",6.4,54,The Watchman
Comedy,3.9,54,Drunk Parents
"Documentary,Short",6.5,54,Life Overtakes Me
Comedy,6.5,54,Iliza Shlesinger: Unveiled
"Drama,History",6.5,54,#AnneFrank. Parallel Stories
"Animation,Short,Drama",7.3,54,Sitara: Let Girls Dream
"Documentary,Biography",7,54,ReMastered: Devil at the Crossroads
Talk-Show,7.7,54,Oprah Winfrey Presents: When They See Us Now
Drama,6,54,Juanita
Documentary,6.5,54,Wonder Boy
"Documentary,Music",7.3,53,Dolly Parton: Here I Am
Drama,7.8,53,Hamid
"Documentary,Biography,Family,History,Sport",7.3,53,Shelby American
"Action,Crime,Drama,Thriller",4.9,53,Backdraft 2
Drama,6.9,53,Bulbul Can Sing
"Animation,Drama,History,War",6.9,53,Funan
"Action,Horror,Mystery,Sci-Fi,Thriller",4.3,53,Dark Light
Documentary,6.8,53,Our Godfather
"Comedy,Drama,Romance",5.7,53,Almost Love
"Drama,Romance",6.7,53,Dilan 1991
"Adventure,Crime,Drama,Mystery,Romance,Thriller",6.2,53,Made In China
"Documentary,Short,Family",6.8,53,All in My Family
Comedy,6.5,53,Whitney Cummings: Can I Touch It?
Documentary,7.3,53,Cracked Up: The Darrell Hammond Story
"Animation,Action,Adventure,Family,Fantasy,Romance",6.1,53,NiNoKuni
Comedy,7.3,53,Jo Koy: Comin’ In Hot
Drama,5.7,53,Noblemen
Comedy,7.6,53,"Colin Quinn: Red State, Blue State"
"Documentary,Sport",7.4,52,Bethany Hamilton: Unstoppable
"Comedy,Drama",7,52,Axone
"Comedy,Drama,Fantasy",7.4,52,Oh! Baby
"Biography,Drama",5.4,52,J.T. LeRoy
"Biography,Drama",6.4,52,Walk. Ride. Rodeo.
Thriller,4.4,52,Secret Obsession
"Drama,Horror,Mystery,Thriller",4.6,52,Rattlesnake
"Action,Comedy,Crime",4.8,52,The Hard Way
Comedy,6,52,Kandasamys The Wedding
"Action,Thriller",6.8,52,Thambi
"Animation,Short",6.4,52,Sturgill Simpson Presents Sound & Fury
Documentary,6.4,52,Out Of The Clear Blue Sky
"Comedy,Drama,Romance,Sport",4.2,52,The Zoya Factor
"Action,Drama,History,War",5.3,52,Panipat
"Documentary,Biography,Sport",6.5,51,Antoine Griezmann: The Making of a Legend
Drama,7.4,51,Mehandi Circus
"Documentary,Short,Biography,Drama",6.8,51,A Love Song for Latasha
"Documentary,Biography",7,51,Merata: How Mum Decolonised the Screen
"Crime,Drama,Music,Romance",6,51,"Let's Dance"
Documentary,6.5,51,League of Legends Origins
Documentary,6.3,51,The Creative Brain
"Drama,Horror,Mystery",3.5,51,"Jacob's Ladder"
"Animation,Comedy,Drama",7,51,Alice Júnior
"Documentary,Comedy",7.2,51,"Ray Romano: Right Here, Around the Corner"
Drama,7,51,M8 - When Death Rescues Life
"Animation,Adventure,Comedy,Family",4.7,51,Arctic Dogs
"Drama,History",6.6,51,This Earth of Mankind
"Drama,Romance",6.1,51,Cuddle Weather
"Documentary,Biography,Sport",7.1,51,A Kid from Coney Island
"Drama,Romance",7,51,Once Again
Comedy,5.7,51,"Ken Jeong: You Complete Me, Ho"
"Documentary,Crime,Music",7,51,ReMastered: The Miami Showband Massacre
Drama,7,51,Miss Virginia
"Drama,Thriller",4.7,51,Only Mine
"Animation,Adventure,Comedy",3.8,50,Pets United
"Documentary,Drama",7.3,50,ReMastered: Massacre at the Stadium
"Action,Adventure,Comedy,Drama,Family,Mystery",8,50,"Free Rein: Valentine's Day"
"Documentary,Drama",7.6,50,Brené Brown: The Call to Courage
"Documentary,Biography,Family,Sport",6.2,50,"The Ronda Rousey Story: Through My Father's Eyes"
"Crime,Drama",3.5,50,Drive
"Action,Thriller",5.2,50,Saaho
"Drama,Music",7.5,50,Sarvam Thaala Mayam
Documentary,7.9,50,Salam - The First ****** Nobel Laureate
Documentary,6.7,50,Brave Blue World: Racing to Solve Our Water Crisis
"Comedy,Romance",4.9,50,"Oh, Ramona!"
"Comedy,Family",5.5,50,House Arrest
Documentary,7.1,50,Wandering Stars
Comedy,5.5,50,"Kevin Hart's Guide to Black History"
"Comedy,Family",5.2,50,Back of the Net
"Drama,Family",7.8,50,"Cemara's Family"
Comedy,5.4,50,Despite Everything
"Comedy,Romance",7.8,50,"Isa Pa, with Feelings"
"Comedy,Family",4.9,50,Grand-Daddy Day Care
"Mystery,Thriller",4.5,49,Deadly Switch
"Action,Thriller",7.2,49,Uriyadi 2
"Drama,Thriller,War",4.3,49,The Trap
"Biography,Drama",5.2,49,Thackeray
"Documentary,History",6.6,49,Iron Fists and Kung Fu Kicks
"Documentary,Short,Sport",7,49,"Lorena, Light-footed Woman"
"Sci-Fi,Thriller",5.5,49,Dead Kids
"Drama,Western",5.1,49,The Brave
"Comedy,Romance",6.2,49,In Family I Trust
Comedy,6,49,"Nikki Glaser: Bangin'"
"Comedy,Drama",5.3,49,Dolly Kitty and Those Twinkling Stars
Comedy,5.8,49,Adam Devine: Best Time of Our Lives
"Drama,Romance",7.1,49,Ave Maryam
"Comedy,Romance,Sport",5.3,49,Back to School
"Action,Drama,Thriller",6.2,49,Redemption
"Comedy,Romance",5.8,49,Motichoor Chaknachoor
"Comedy,Drama",7.2,48,Guddiyan Patole
Comedy,6.2,48,Tiffany Haddish: Black Mitzvah
Drama,7,48,"Sincerely Yours, Dhaka"
Documentary,6.8,48,Dying to Tell
Documentary,6.2,48,Calum Von Moger: Unbroken
Action,6.8,48,HiGH&LOW THE WORST
"Documentary,Short",5.5,48,Ghosts of Sugar Land
"Action,Crime,Drama,Thriller",4.5,48,Paradise Beach
Music,7,48,Mayday Life
"Comedy,Drama,Romance",6,48,Belmonte
"Documentary,Music",6.9,48,"ReMastered: The Lion's Share"
"Comedy,Drama,Family,Romance",4.9,48,Holiday Rush
"Comedy,Romance",5.3,48,Under the Eiffel Tower
Animation,8.3,48,A Truthful Mother
"Drama,Family,Sport",5.1,48,A Second Chance: Rivals!
"Animation,Adventure,Comedy,Family",5.7,48,Latte and the Magic Waterstone
"Comedy,Sport",6.2,48,Pegasus
Drama,4.6,48,Paris Is Us
Drama,8.1,48,Bhai - Vyakti ki Valli
"Comedy,Drama",6.8,48,Too Handsome To Handle
Comedy,7.6,48,What the F* Is Going On?
"Comedy,Horror",3.8,47,Girls with Balls
"Drama,Fantasy,Horror,Mystery,Thriller",5.5,47,The 3rd Eye 2
Drama,7.2,47,Evvarikee Cheppoddu
Comedy,6.4,47,Simon Amstell: Set Free
Family,4.4,47,Christmas Break-In
"Crime,Drama,Mystery,Thriller",5.2,47,Seven
"Action,Horror,Thriller",4,47,The Car: Road to Revenge
Music,8.3,47,Hikaru Utada Laughter in the Dark Tour 2018
Comedy,5.4,47,A Remarkable Tale
"Action,Crime,Drama,Thriller",6.3,47,Jo Pil-ho: The Dawning Rage
"Action,Comedy,Family",5,47,Malibu Rescue
Drama,6.7,47,Justine
"Crime,Drama,Romance",6.7,47,Brother
Comedy,6.9,47,Whindersson Nunes: Adult
"Comedy,Family,Romance",5,46,Santa Girl
"Comedy,Sport",4.2,46,Benchwarmers 2: Breaking Balls
"Drama,Romance",6.9,46,Love for Sale 2
"Animation,Drama,Romance",6.1,46,Bombay Rose
"Comedy,Family,Fantasy,Musical,Romance",4.6,46,Cinderella Pop
"Comedy,Drama",7.4,46,Vikruthi
Horror,4.5,46,The Influence
"Animation,Short,Action,Adventure,Comedy,Family",5.6,46,LEGO Marvel Spider-Man: Vexed By Venom
Drama,5.3,46,The World We Make
Comedy,6.3,46,Mo Gilligan: Momentum
"Drama,Fantasy,Sport",5.7,46,Full Count
Drama,7.1,46,Patria
Comedy,5.4,46,Born Beautiful
"Short,Drama",6.7,46,The Letter Reader
"Comedy,Drama",6.3,46,Alelí
Comedy,5.6,46,The Panti Sisters
Comedy,3.1,46,How High 2
"Animation,Short,Adventure,Comedy,Family,Fantasy,Musical",7.2,46,True: Grabbleapple Harvest
Documentary,6.9,46,Parchís: The Documentary
"Comedy,Romance,Sport",5.2,46,All the Freckles in the World
Documentary,6.8,46,"I'm Leaving Now"
Comedy,4.8,46,Mike Epps: Only One Mike
"Documentary,Short",6.3,46,A Tale of Two Kitchens
"Mystery,Thriller",5,45,Boi
"Action,Crime,Thriller",5.8,45,The Girl and The Gun
"Drama,Mystery",5,45,American Woman
"Documentary,Drama",6.6,45,Hope Frozen: A Quest to Live Twice
"Documentary,Biography,Drama",6.5,45,It Takes a Lunatic
"Comedy,Romance",7.1,45,Sakaling Maging Tayo
"Drama,Fantasy,Romance,Sci-Fi",6.3,45,Eggnoid
Comedy,4.8,45,The Little Switzerland
Drama,7.4,45,Lola Igna
Drama,5.9,45,15-Aug
"Drama,Horror,Thriller",5,45,Scarecrow
"Drama,Romance",6.3,45,Between Maybes
"Action,Drama,Romance",6,45,Malaal
"Action,Crime,Drama",3.8,45,Women of Mafia 2
"Action,Drama",5.6,44,The (Silent) War
Drama,6.7,44,Upstarts
Comedy,5.7,44,Wannabe Courageous
"Adventure,Comedy",6.6,44,My Stupid Boss 2
"Comedy,Romance",4.4,44,Öldür Beni Sevgilim
"Comedy,Drama,Romance",4.8,44,Manmadhudu 2
"Documentary,Short",7.2,44,The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie
Comedy,5.8,44,Tootsies & The Fake
"Animation,Short,Adventure,Comedy,Family,Fantasy,Musical",7.1,44,True: Tricky Treat Day
Drama,7,44,Thottappan
"Action,Sci-Fi",4.3,44,Shanghai Fortress
"Documentary,Music",7,44,Los Tigres del Norte at Folsom Prison
"Comedy,Family",5.7,44,A Family Reunion Christmas
Comedy,7.1,44,Franco Escamilla: bienvenido al mundo
Drama,6.8,44,Mere Pyare Prime Minister
"Documentary,Adventure,News",7.8,44,SunGanges
"Drama,Mystery,Thriller",5.4,44,Bypass Road
"Action,War",2.8,44,Rogue Warfare
"Documentary,Short,Drama",4.7,43,Mohamed Hussein
"Comedy,Drama,Romance",6.4,43,Mundina Nildana
Action,6.3,43,Wira
"Drama,Horror,Mystery,Thriller",2.8,43,Deadcon
"Animation,Short,Action,Adventure,Comedy,Family",6.1,43,The Spooky Tale of Captain Underpants Hack-a-ween
"Drama,Fantasy",5.8,43,Living in Bondage: Breaking Free
Family,7.2,43,Sethum Aayiram Pon
"Action,Sci-Fi",2.6,43,Alien Warfare
"Animation,Adventure,Drama,Family",5.8,43,Spirit Riding Free: Spirit of Christmas
Comedy,4.4,43,No Place Like Home
Comedy,5.5,43,Miranda Sings Live... Your Welcome.
Comedy,6,43,Katherine Ryan: Glitter Room
"Horror,Romance",5.2,43,Revenge of the Pontianak
"Comedy,Drama",6,43,A Home with a View
Comedy,3.4,43,Undercover Brother 2
Thriller,3.6,43,Deviant Love
Documentary,2.5,43,Enter the Anime
"Adventure,Drama",5.4,42,The Body
"Crime,Drama",5.5,42,Òlòtūré
"Animation,Short,Adventure,Comedy,Family,Fantasy,Musical",8.2,42,True: Happy Hearts Day
"Action,Drama",6.3,42,Guna 369
Thriller,4.3,42,Fear Bay
Crime,6.4,42,Street Flow
"Drama,Romance",7,42,Si Doel the Movie 2
Drama,5.5,42,Albert Pinto Ko Gussa Kyun Aata Hai?
Comedy,5.9,42,Jeff Garlin: Our Man in Chicago
"Drama,Romance",7.1,42,The Wedding Shaman
Documentary,7.4,42,Carlos Almaraz: Playing With Fire
Thriller,4.3,42,Kill Me Twice
Drama,5.8,42,Keeping the Bees
"Documentary,Short",6.4,42,Birders
Action,3.5,42,The Reliant
Horror,4.8,42,Rakkhosh
"Comedy,Music",5.2,42,Still Laugh-In: The Stars Celebrate
Drama,5.4,41,What are the Odds?
"Action,Crime,Thriller",5,41,One Day: Justice Delivered
"Documentary,Sport",8.1,41,"River, el Más Grande Siempre"
Comedy,6,41,Daniel Sosa: Maleducado
Action,3.1,41,Rogue Warfare: The Hunt
"Drama,Sci-Fi,Thriller",2.6,41,The App
"Short,Drama,Family,Fantasy",7.1,41,Baxu and the Giants
"Documentary,Comedy",6,41,Jack Whitehall: Christmas with my Father
"Action,Crime,Drama,Fantasy",5.6,41,The 9th Precinct
"Animation,Adventure,Comedy,Family",3.2,41,Norm of the North: King Sized Adventure
Comedy,4.4,41,Stunt School
Comedy,4.2,41,Feo pero Sabroso
"Short,Comedy,Drama",7.1,41,Aziza
"Comedy,Drama",5.8,41,Tuna Girl
Thriller,6.4,41,4th Republic
"Documentary,Music",7.1,41,The Remix: Hip Hop x Fashion
"Comedy,Family",5.7,41,Kids on the Block
Documentary,6.8,41,El Sendero de la Anaconda
"Documentary,Short",4.3,41,After the Raid
Comedy,3.9,41,"¡Ay, mi madre!"
Comedy,6.4,40,"Martin Matte : La vie, la mort... eh la la..!"
"Crime,Drama,Mystery",4.5,40,Paharganj
"Action,Comedy",6.7,40,Merry Men 2: Another Mission
"Animation,Action,Adventure",5.3,40,Chhota Bheem Kung Fu Dhamaka
Drama,5.6,40,Jada
Documentary,7.2,40,Alexis Viera: A Story of Surviving
"Comedy,Horror,Thriller",5.4,40,Red Snow
Comedy,7.3,40,Ricardo Quevedo: Los amargados somos más
"Biography,Drama,Sport",6.6,40,Tee Shot: Ariya Jutanugarn
"Biography,Crime,Drama,Romance",7.1,40,Skin
Family,5.5,40,Go! The Unforgettable Party
Comedy,4.8,40,Misfit 2
"Fantasy,Mystery,Thriller",5.9,40,Candyflip
Animation,5.5,39,Super Monsters Furever Friends
"Crime,Drama,Thriller",6.6,39,Saavat
"Comedy,Drama",7,39,Elevator Baby
"Comedy,Crime,Drama",4.5,39,Bombairiya
Comedy,7.3,39,Bonne nuit Blanche
"Drama,Romance",5.9,39,Dorasaani
Sport,5.5,39,Penalty
Romance,6.5,38,Kasanova
"Action,Sci-Fi",2,38,Cross: Rise of the Villains
Family,3.3,38,Nothing to Lose - Part 2
Comedy,6,38,Arsenio Hall: Smart and Classy
Comedy,3.4,38,90 ML
"Comedy,Drama,Romance",5.1,38,Freshman Year
Action,5.2,38,We Are Legends
Comedy,6.3,38,Mokalik (Mechanic)
"Comedy,Drama,Family,Musical,Romance",5.9,38,High End Yaariyaan
Comedy,4.9,38,Park Na-rae: Glamour Warning
"Comedy,Horror",5.3,38,Uncle Naji in UAE
Drama,5.7,38,Nimbe
"Comedy,Romance",6.1,38,The Perfect Picture: Ten Years Later
"Animation,Adventure,Comedy,Family,Horror,Musical",4.8,37,Super Monsters Save Christmas
"Drama,Thriller",4.3,37,Aaviri
"Action,Comedy,Crime,Thriller",4.2,37,The Set Up
Documentary,6.6,37,Guatemala: Corazón del Mundo Maya
"Drama,Thriller",6.2,37,Krutant
"Comedy,Drama",5.5,37,Kalek Shanab
"Action,Crime,Drama,Thriller",4.4,37,Pranaam
Comedy,5.1,37,Kaake Da Viyah
Animation,4.8,37,"Elf Pets: A Fox Cub's Christmas Tale"
"Documentary,Short",5.2,37,American Factory: A Short Conversation with the Obamas
Documentary,7.3,37,To Be of Service
"Comedy,Thriller",5.6,37,The Millions
"Drama,Thriller",2.7,37,Kolaiyuthir Kaalam
