Genres,IMDb,Netflix,Rotten Tomatoes,Title,Year,_id
"Horror,Mystery,Thriller",5.7,true,71,Velvet Buzzsaw,2019,6163f0ed62fe85987e156c55
"Comedy,Drama",7.2,true,71,"Live Twice, Love Once",2019,6163f0ed62fe85987e156c5b
"Action,Adventure,Drama,Fantasy",6.8,true,71,The Outpost,2019,6163f0ed62fe85987e156c62
"Action,Drama,Romance",7.1,true,71,Kabir Singh,2019,6163f0ed62fe85987e156c63
"Documentary,Music",7.5,true,71,Homecoming: A Film by Beyoncé,2019,6163f0ed62fe85987e156c64
"Action,Biography,Drama,History",7,true,71,Ip Man 4: The Finale,2019,6163f0ed62fe85987e156c66
"Comedy,Crime,Drama,History",6.3,true,71,The Laundromat,2019,6163f0ed62fe85987e156c67
Documentary,7.9,true,70,The Game Changers,2019,6163f0ed62fe85987e156c72
Comedy,7.2,true,70,Michelle Wolf: Joke Show,2019,6163f0ed62fe85987e156c73
"Biography,Drama,History",7.2,true,70,The Best of Enemies,2019,6163f0ed62fe85987e156c76
"Comedy,Romance",6.2,true,70,"Faith, Hope & Love",2019,6163f0ed62fe85987e156c7d
Documentary,7.2,true,70,Grass is Greener,2019,6163f0ed62fe85987e156c7f
Drama,7.8,true,70,System Crasher,2019,6163f0ed62fe85987e156c8a
"Comedy,Drama",5.6,true,70,An Easy Girl,2019,6163f0ed62fe85987e156c9b
Documentary,6.7,true,70,"There's Something in the Water",2019,6163f0ed62fe85987e156ca0
Comedy,5.9,true,69,"Frankenstein's Monster's Monster, Frankenstein",2019,6163f0ed62fe85987e156cad
"Documentary,Biography,History",7,true,69,The Great Hack,2019,6163f0ed62fe85987e156ccb
"Crime,Drama,Horror,Thriller",6.3,true,69,The Forest of Love,2019,6163f0ed62fe85987e156cd6
Documentary,8,true,68,The Silence of Others,2019,6163f0ed62fe85987e156cdf
"Animation,Action,Adventure,Family,Fantasy,Thriller",7.5,true,68,Ne Zha,2019,6163f0ed62fe85987e156cec
"Documentary,Biography,History,Music",7.6,true,68,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,2019,6163f0ed62fe85987e156cf2
"Comedy,Romance",6.2,true,68,Someone Great,2019,6163f0ed62fe85987e156cff
"Animation,Adventure,Comedy,Family",6.4,true,67,The Angry Birds Movie 2,2019,6163f0ed62fe85987e156d2a
"Comedy,Drama,Romance",5.5,true,67,Ek Ladki Ko Dekha Toh Aisa Laga,2019,6163f0ed62fe85987e156d37
"Action,Adventure,Sci-Fi,Thriller",6.9,true,67,"The Wolf's Call",2019,6163f0ed62fe85987e156d3a
"Comedy,Family,Musical",7.5,true,67,John Mulaney & The Sack Lunch Bunch,2019,6163f0ed62fe85987e156d3c
Drama,6.9,true,67,The Body Remembers When the World Broke Open,2019,6163f0ed62fe85987e156d40
"Drama,Romance,Thriller",6.6,true,66,Ophelia,2019,6163f0ed62fe85987e156d53
Comedy,6.5,true,66,Kevin Hart: Irresponsible,2019,6163f0ed62fe85987e156d62
"Horror,Mystery,Sci-Fi,Thriller",5.4,true,66,In the Tall Grass,2019,6163f0ed62fe85987e156d63
"Adventure,Comedy,Drama",7,true,66,Then Came You,2019,6163f0ed62fe85987e156d6e
"Comedy,Reality-TV",5.9,true,66,Jenny Slate: Stage Fright,2019,6163f0ed62fe85987e156d70
"Drama,Sport",6.2,true,66,High Flying Bird,2019,6163f0ed62fe85987e156d7d
"Drama,Horror,Sci-Fi,Thriller",5.3,true,65,The Silence,2019,6163f0ed62fe85987e156d81
"Short,Comedy,Music,Sport",6.9,true,65,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,2019,6163f0ed62fe85987e156d8c
"Action,Drama,Thriller",5.7,true,65,Close,2019,6163f0ed62fe85987e156d91
"Comedy,Crime,Drama,Music",6.4,true,65,Beats,2019,6163f0ed62fe85987e156d9c
"Action,Adventure,Crime,Drama,Sci-Fi,Thriller",5.2,true,65,See You Yesterday,2019,6163f0ed62fe85987e156da4
"Comedy,Drama",6.1,true,65,"Yes, God, Yes",2019,6163f0ed62fe85987e156dac
Documentary,7.7,true,65,Last Breath,2019,6163f0ed62fe85987e156db4
Comedy,6.1,true,65,Otherhood,2019,6163f0ed62fe85987e156dbb
