Genres,IMDb,Netflix,Rotten Tomatoes,Title,Year
"Documentary,Biography",7.2,true,61,Audrey,2020
,8.6,true,61,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",2020
"Drama,Horror,Thriller",5.8,true,61,1BR,2020
Documentary,6.7,true,61,The Last Blockbuster,2020
"Crime,Drama",6.9,true,61,Calm with Horses,2020
"Animation,Action,Crime,Drama,Mystery,Sci-Fi,Thriller",6.5,true,61,Altered Carbon: Resleeved,2020
"Drama,Horror,Mystery,Thriller",6.1,true,61,"Don't Listen",2020
"Crime,Drama,Thriller",5.9,true,61,Wasp Network,2020
"Drama,Thriller",5.5,true,61,Sightless,2020
Comedy,7.3,true,61,Tom Segura: Ball Hog,2020
"Drama,Romance",7.3,true,61,Your Name Engraved Herein,2020
Comedy,6.1,true,60,Pete Davidson: Alive from New York,2020
"Drama,Fantasy,Thriller",5.9,true,60,A Fall from Grace,2020
"Adventure,Comedy,Mystery,Romance,Sci-Fi",7,true,60,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,2020
"Drama,Mystery,Romance,Thriller",6,true,60,Rebecca,2020
"Documentary,History",7.2,true,60,Secrets of the Saqqara Tomb,2020
"Documentary,Drama",7.5,true,60,The Reason I Jump,2020
"Action,Comedy,Crime,Drama,Thriller",6.9,true,60,AK vs AK,2020
"Action,Crime,Drama,Thriller",6.1,true,60,Rogue City,2020
"Adventure,Comedy,Drama",7,true,60,Rose Island,2020
Drama,6.3,true,60,Concrete Cowboy,2020
"Action,Mystery,Thriller",5.7,true,60,The Vanished,2020
"Drama,Mystery,Thriller",5.3,true,60,Dangerous Lies,2020
Comedy,8,true,60,The Book of Sun,2020
"Horror,Thriller,War",5.5,true,60,Ghosts of War,2020
"Action,Crime,Drama,Thriller",6.7,true,60,Night in Paradise,2020
"Horror,Thriller",4.8,true,59,Nobody Sleeps in the Woods Tonight,2020
"Documentary,Music",6.4,true,59,"ariana grande: excuse me, i love you",2020
"Action,Crime,Drama,Sci-Fi,Thriller",6.3,true,59,Time to Hunt,2020
"Comedy,Horror",5.6,true,59,Vampires vs. the Bronx,2020
Comedy,5.2,true,59,Leslie Jones: Time Machine,2020
"Action,Adventure,Drama,Fantasy,Sci-Fi",5.3,true,59,Dragonheart: Vengeance,2020
Drama,6.5,true,59,All Together Now,2020
"Crime,Drama,Mystery,Thriller",7.3,true,59,Raat Akeli Hai,2020
"Short,Drama",7.6,true,59,The Present,2020
"Action,Adventure,Comedy,Crime,Drama,Mystery,Thriller",6.1,true,59,Unknown Origins,2020
"Action,Adventure,Comedy,Family",5.6,true,59,The Sleepover,2020
"Drama,Romance",3.3,true,59,365 Days,2020
"Drama,Romance",6.1,true,59,The Lost Husband,2020
"Crime,Thriller",6.2,true,58,Offering to the Storm,2020
Drama,6,true,58,Ultras,2020
"Crime,Drama,Thriller",6.6,true,58,The Crimes That Bind,2020
"Adventure,Drama,History,Thriller",6.3,true,58,Coven,2020
Documentary,7.3,true,58,Mucho Mucho Amor: The Legend of Walter Mercado,2020
"Documentary,Music",8.7,true,58,Sky Tour: The Movie,2020
"Action,Thriller",5.9,true,58,The Decline,2020
"Animation,Short,Drama,Family",6.5,true,57,Canvas,2020
Comedy,6.2,true,57,Eric Andre: Legalize Everything,2020
"Drama,Music",7.2,true,57,The Disciple,2020
"Drama,History",6.2,true,57,Radium Girls,2020
Comedy,5.8,true,57,"I Love You, Stupid",2020
Comedy,7.9,true,57,Ari Eldjárn: Pardon My Icelandic,2020
Documentary,6.6,true,57,Black Holes: The Edge of All We Know,2020
Comedy,7.1,true,57,Bert Kreischer: Hey Big Boy,2020
"Drama,War",6.6,true,57,Fatima,2020
"Comedy,Crime,Drama",5.8,true,57,All My Friends Are Dead,2020
Documentary,7.2,true,57,LA Originals,2020
Drama,6.7,true,57,Adú,2020
"Animation,Adventure,Comedy,Family,Fantasy,Musical",5.8,true,57,Animal Crackers,2020
"Crime,Mystery,Thriller",6.8,true,57,Forensic,2020
Comedy,6.8,true,57,Marc Maron: End Times Fun,2020
Comedy,3.8,true,57,"American Pie Presents: Girls' Rules",2020
"Comedy,Drama,Romance",5.8,true,57,A California Christmas,2020
"Action,Adventure,Comedy,Horror,Sci-Fi,Thriller",5.5,true,57,Tremors: Shrieker Island,2020
"Comedy,Drama,Family,Romance",6.5,true,57,I Am Woman,2020
"Comedy,Romance",5.2,true,57,Desperados,2020
"Documentary,Crime",7,true,57,Made You Look: A True Story About Fake Art,2020
Music,8.4,true,57,Ben Platt: Live from Radio City Music Hall,2020
"Comedy,Drama,Family,Romance",5.4,true,57,The Princess Switch: Switched Again,2020
"Horror,Mystery,Sci-Fi,Thriller",4.3,true,56,What Lies Below,2020
"Action,Adventure,Fantasy",6.1,true,56,Double World,2020
Comedy,6,true,56,Kevin Hart: Zero F**ks Given,2020
"Biography,Comedy,Crime,Drama",5.4,true,56,Guilty,2020
Drama,6.5,true,56,Tigertail,2020
"Comedy,Romance",7.6,true,56,Kappela,2020
Drama,3.2,true,56,Cuties,2020
Comedy,7.2,true,56,Jim Jefferies: Intolerant,2020
"Comedy,Romance",5.6,true,56,"Love, Guaranteed",2020
Documentary,7.7,true,56,Road to Roma,2020
"Horror,Mystery,Thriller",4.4,true,56,Death of Me,2020
Documentary,6.7,true,56,Coded Bias,2020
"Biography,Drama,History",6.8,true,56,Dance of the 41,2020
"Horror,Mystery,Thriller",5.1,true,56,Cadaver,2020
"Action,Comedy",5.8,true,56,Debt Collectors,2020
"Animation,Adventure,Family",5.8,true,56,Bigfoot Family,2020
"Comedy,Romance",5.8,true,56,Rich in Love,2020
Documentary,7.7,true,56,Uppity: The Willy T. Ribbs Story,2020
"Action,Sci-Fi,Thriller",2.9,true,56,Jiu Jitsu,2020
Documentary,7.8,true,55,Hating Peter Tatchell,2020
"Drama,Horror,Mystery",6.8,true,55,MOTHER,2020
"Drama,History,Romance",6,true,55,Monsoon,2020
Drama,7.8,true,55,Uma Maheswara Ugra Roopasya,2020
"Action,Horror,Thriller",6.5,true,55,Residue,2020
