Genres,IMDb,Netflix,Rotten Tomatoes,Title,Year
Drama,3.6,true,39,Miss India,2020
Comedy,3.8,true,39,Mujeres arriba,2020
"Animation,Short,Family",6.4,true,39,A Go! Go! Cory Carson Christmas,2020
Thriller,6,true,39,Light in the Dark,2020
"Animation,Action",5.4,true,39,Little Singham: Kaal Ka Badla,2020
"Animation,Family",2.6,true,38,Bobbleheads: The Movie,2020
,5.7,true,38,BNK48: One Take,2020
,,true,38,"Calico Critters: Everyone's Big Dream Flying in the Sky",2020
Comedy,2.8,true,38,Ni de coña,2020
"Animation,Family",6.9,true,38,True: Friendship Day,2020
"Animation,Short,Family",5.3,true,38,A Go! Go! Cory Carson Summer Camp,2020
Comedy,7.4,true,38,David A. Arnold: Fat Ballerina,2020
,7.1,true,37,I’m No Longer Here: A Conversation with Guillermo Del Toro & Alfonso Cuarón,2020
"Drama,Fantasy,Horror,Mystery,Thriller",2.7,true,37,Dark Forces,2020
Drama,4.6,true,37,Finding Agnes,2020
Talk-Show,4.8,true,37,The Netflix Afterparty: The Best Shows of The Worst Year,2020
"Animation,Adventure,Comedy,Family,Horror,Musical",4.7,true,37,Super Monsters: Dia de los Monsters,2020
"Animation,Adventure,Comedy,Family,Horror,Musical",5.9,true,37,Super Monsters: The New Class,2020
"Drama,Romance",3.9,true,37,Fronteras,2020
"Documentary,History,News,War",4.5,true,36,We Are One,2020
,,true,36,"Beyond the Boundary: ICC Women's T20 World Cup Australia 2020",2020
"Animation,Family",5.8,true,36,Chico Bon Bon and the Very Berry Holiday,2020
"Animation,Short,Adventure,Comedy,Family,Musical",5,true,36,The Magic School Bus Rides Again: The Frizz Connection,2020
Comedy,4.8,true,36,Natalie Palamides: Nate - A One Man Show,2020
"Comedy,Drama,Romance",6.1,true,36,Finding Hubby,2020
"Short,Family",5.3,true,36,Elf Pets: Santas Reindeer Rescue,2020
"Animation,Adventure,Comedy,Family,Horror,Musical",4.7,true,35,"Super Monsters: Santa's Super Monster Helpers",2020
"Biography,Drama",5.9,true,35,Hunter in the Blue Side of Manchester,2020
"Animation,Family",5,true,35,Mighty Express: A Mighty Christmas,2020
"Animation,Action,Adventure,Comedy,Family,Fantasy,Sci-Fi",,true,35,StarBeam: Halloween Hero,2020
"Documentary,Short",,true,34,El límite infinito,2020
"Comedy,Romance",5.7,true,34,"Who's the Boss",2020
Comedy,4.7,true,34,London Hughes: To Catch A D*ck,2020
"Animation,Family",6.1,true,34,True: Rainbow Rescue,2020
Animation,7.1,true,33,True: Wuzzle Wegg Day,2020
"Comedy,Drama",3.3,true,33,An Unremarkable Christmas,2020
,6.3,true,33,Thomas e Seus Amigos - A Locomotiva Real,2020
"Action,Crime,Thriller",3.3,true,32,Asuraguru,2020
"Comedy,Music,Romance",5.8,true,32,One Like It,2020
Drama,3.1,true,31,Small Chops,2020
,,true,17,Angu Vaikuntapurathu (Malayalam),2020
Documentary,,true,17,The Boys in the Band: Something Personal,2020
"Mystery,Sci-Fi,Thriller",,true,15,Death Can Wait,2020
Drama,,true,15,Har Kisse Ke Hisse Kaamyaab,2020
Documentary,,true,14,ReFrame,2020
,,true,13,Wave of Cinema: Surat Dari Timur,2020
"Documentary,Biography,Sport",,true,12,Guillermo Vilas: Settling the Score,2020
Action,,true,12,Little Singham: Legend of Dugabakka,2020
,,true,12,Velvet Colección: Grand Finale,2020
Animation,,true,10,Thomas & Friends: Marvelous Machinery: A New Arrival,2020
"Comedy,Romance",,true,10,Dear Affy,2020
,,true,,Wave of Cinema: Filosofi Kopi,2020
Short,,true,,Thomas & Friends: Marvelous Machinery: World of Tomorrow,2020
"Animation, Action, Adventure, Fantasy, Sci-Fi",7.7,true,,Alice in Borderland,2020
"Action, Crime, Drama, Thriller",7.3,true,,Bridgerton,2020
"Action, Crime",7.4,true,,The Haunting of Bly Manor,2020
"Comedy, Drama, Romance",8.6,true,,"The Queen's Gambit",2020
"Action, Drama, History",7.6,true,,Outer Banks,2020
Drama,7.4,true,,Sweet Home,2020
"Action, Adventure, Drama, Fantasy, Mystery",7.1,true,,Into the Night,2020
"Drama, Sci-Fi, Thriller",6.5,true,,Blood & Water,2020
"Action, Drama, Thriller",7.5,true,,Ask 101,2020
"Animation, Action, Drama, Sci-Fi",7.4,true,,Locke & Key,2020
Comedy,7.9,true,,Never Have I Ever,2020
"Documentary, Reality-TV, Romance",7,true,,Emily in Paris,2020
"Action, Drama, Sci-Fi, Thriller",7.7,true,,Little Fires Everywhere,2020
"Comedy, Romance",8.5,true,,Normal People,2020
"Animation, Comedy",7.3,true,,The Circle,2020
"Action, Crime, Drama",7.3,true,,Ratched,2020
"Crime, Drama, Mystery, Thriller",7.2,true,,Hunters,2020
"Action, Adventure, Drama, Fantasy",7.5,true,,Ragnarok,2020
"Comedy, Drama",7.3,true,,The Stranger,2020
"Action, Adventure, Drama, Fantasy, Sci-Fi",6.5,true,,Dark Desire,2020
"Action, Drama",6.7,true,,Space Force,2020
"Drama, Romance",7.7,true,,Extracurricular,2020
"Action, Adventure",8.7,true,,Saikojiman Gwaenchanha,2020
"Animation, Adventure, Comedy, Family, Music",7.2,true,,Barbarians,2020
Documentary,5.9,true,,Cursed,2020
