Genres,IMDb,Rotten Tomatoes,Title
"Action,Adventure,Drama,Fantasy,Sci-Fi",6.6,65,Space Sweepers
"Comedy,Drama",8.4,64,Mimi
"Action,Adventure,Crime,Drama,Thriller",6.2,64,Below Zero
"Crime,Drama,Mystery,Thriller",5.8,63,I Am All Girls
"Action,Crime,Drama,Thriller",6,63,Jagame Thandhiram
"Action,Adventure,Drama,Sci-Fi,Thriller",4.8,63,Awake
"Drama,Romance",6.7,63,Malcolm & Marie
"Animation,Action,Adventure,Comedy,History,Sci-Fi",5.7,63,America: The Motion Picture
"Action,Adventure,Comedy,Family",6.1,62,"Finding 'Ohana"
"Biography,Drama,Sport",7,62,Pelé
"Action,Adventure,Comedy,Drama,Fantasy,Thriller",5.8,62,How I Became a Superhero
"Animation,Adventure,Comedy,Family,Fantasy",6.2,62,Secret Magic Control Agency
Thriller,8.2,61,Nayattu
"Comedy,Drama",8.5,61,Mandela
"Horror,Mystery",4.4,61,The Seventh Day
"Drama,Horror,Mystery,Thriller",5.3,61,Things Heard & Seen
"Biography,Crime,Drama,Thriller",6.5,61,Monster
"Drama,Horror,Thriller",5.5,61,Red Dot
"Drama,Family,Sport",6.7,61,Skater Girl
"Documentary,Crime,History,Mystery",6.5,60,Murder by the Coast
"Documentary,Crime,History",6.7,60,"Crack: Cocaine, Corruption & Conspiracy"
"Documentary,Crime,History",6.3,60,Nail Bomber: Manhunt
Drama,6.7,60,Paper Lives
"Documentary,Biography,Music",6.9,60,Biggie: I Got a Story to Tell
Thriller,4.9,60,Security
"Comedy,Drama",8,60,Cinema Bandi
"Horror,Thriller",5.4,59,The 8th Night
"Drama,Mystery,Sci-Fi,Thriller",6.6,59,The Soul
"Comedy,Drama",6.3,59,The Guide to the Perfect Family
Comedy,7.3,59,Nate Bargatze: The Greatest Average American
"Comedy,Drama",6.9,59,Pagglait
"Documentary,Crime,Drama",7,59,Operation Varsity Blues: The College Admissions Scandal
"Comedy,Drama",7.1,58,Ali & Ratu Ratu Queens
"Drama,Mystery,Thriller",6.4,58,Last Summer
"Comedy,Drama",5.5,58,The House of Flowers: The Movie
"Animation,Adventure,Comedy,Family,Fantasy",6.6,58,Red
"Comedy,Romance",6.6,58,Crazy About Her
"Animation,Action,Fantasy",6.9,58,New Gods: Nezha Reborn
"Documentary,Crime",5.6,58,Why Did You Kill Me?
