Genres,IMDb,Netflix,Rotten Tomatoes,Title,Year,_id
Drama,6.7,true,60,Paper Lives,2021,6165e0ee8a2fde8299a2d6a8
"Documentary,Biography,Music",6.9,true,60,Biggie: I Got a Story to Tell,2021,6165e0ee8a2fde8299a2d6aa
Thriller,4.9,true,60,Security,2021,6165e0ee8a2fde8299a2d6ba
"Comedy,Drama",8,true,60,Cinema Bandi,2021,6165e0ee8a2fde8299a2d6bf
"Horror,Thriller",5.4,true,59,The 8th Night,2021,6165e0ee8a2fde8299a2d6e7
"Drama,Mystery,Sci-Fi,Thriller",6.6,true,59,The Soul,2021,6165e0ee8a2fde8299a2d6e9
"Comedy,Drama",6.3,true,59,The Guide to the Perfect Family,2021,6165e0ee8a2fde8299a2d725
Comedy,7.3,true,59,Nate Bargatze: The Greatest Average American,2021,6165e0ee8a2fde8299a2d727
"Comedy,Drama",6.9,true,59,Pagglait,2021,6165e0ee8a2fde8299a2d728
"Documentary,Crime,Drama",7,true,59,Operation Varsity Blues: The College Admissions Scandal,2021,6165e0ee8a2fde8299a2d72a
"Comedy,Drama",7.1,true,58,Ali & Ratu Ratu Queens,2021,6165e0ee8a2fde8299a2d744
"Drama,Mystery,Thriller",6.4,true,58,Last Summer,2021,6165e0ee8a2fde8299a2d74f
"Comedy,Drama",5.5,true,58,The House of Flowers: The Movie,2021,6165e0ee8a2fde8299a2d752
"Animation,Adventure,Comedy,Family,Fantasy",6.6,true,58,Red,2021,6165e0ee8a2fde8299a2d754
"Comedy,Romance",6.6,true,58,Crazy About Her,2021,6165e0ee8a2fde8299a2d75c
"Animation,Action,Fantasy",6.9,true,58,New Gods: Nezha Reborn,2021,6165e0ee8a2fde8299a2d768
"Documentary,Crime",5.6,true,58,Why Did You Kill Me?,2021,6165e0ee8a2fde8299a2d769
"Action,Drama,History,Horror,Thriller",8.2,true,58,Ashin of the North,2021,6165e0ee8a2fde8299a2d776
"Comedy,Romance",6.8,true,58,Sweet & Sour,2021,6165e0ee8a2fde8299a2d782
"Musical,Romance",7.2,true,58,99 Songs,2021,6165e0ee8a2fde8299a2d787
"Animation,Action,Drama,Romance,Sci-Fi",6.8,true,57,Mobile Suit Gundam: Hathaway,2021,6165e0ee8a2fde8299a2d795
"Action,Comedy,Crime",6.2,true,57,Get the Goat,2021,6165e0ee8a2fde8299a2d7a8
"Action,Crime,Drama,Thriller",4.7,true,57,Sentinelle,2021,6165e0ee8a2fde8299a2d7b5
"Drama,Horror,Mystery,Thriller",5.7,true,57,A Classic Horror Story,2021,6165e0ee8a2fde8299a2d7e4
"Drama,Romance",6.7,true,57,Ajeeb Daastaans,2021,6165e0ee8a2fde8299a2d7ec
"Horror,Thriller",4.2,true,57,The Devil Below,2021,6165e0ee8a2fde8299a2d7f2
"Drama,Family,Musical",5.8,true,56,A Week Away,2021,6165e0ee8a2fde8299a2d80e
"Crime,Drama",7,true,56,A Family,2021,6165e0ee8a2fde8299a2d81e
"Action,Adventure,Sci-Fi",2.5,true,56,Cosmic Sin,2021,6165e0ee8a2fde8299a2d820
,7.1,true,56,Pretty Guardians Sailor Moon Eternal The MOVIE - Part 1,2021,6165e0ee8a2fde8299a2d825
Drama,7,true,56,Cousins,2021,6165e0ee8a2fde8299a2d828
"Animation,Drama,Romance",7,true,56,Words Bubble Up Like Soda Pop,2021,6165e0ee8a2fde8299a2d836
"Action,Adventure,Fantasy",4.8,true,56,Dynasty Warriors,2021,6165e0ee8a2fde8299a2d837
Romance,5.3,true,56,This Little Love of Mine,2021,6165e0ee8a2fde8299a2d848
Documentary,5.9,true,56,The Minimalists: Less Is Now,2021,6165e0ee8a2fde8299a2d855
"Drama,Mystery,Sci-Fi,Thriller",4.9,true,56,Deep,2021,6165e0ee8a2fde8299a2d859
Documentary,7.9,true,56,Biking Borders - eine etwas andere Reise,2021,6165e0ee8a2fde8299a2d85a
"Drama,Horror,Thriller",5.2,true,56,Ghost Lab,2021,6165e0ee8a2fde8299a2d85b
"Comedy,Drama,Romance",5.3,true,56,A Perfect Fit,2021,6165e0ee8a2fde8299a2d860
"Drama,Thriller",5.3,true,55,Prime Time,2021,6165e0ee8a2fde8299a2d873
"Biography,Drama,Sport",6.1,true,55,Baggio: The Divine Ponytail,2021,6165e0ee8a2fde8299a2d881
"Crime,Drama,Mystery,Thriller",4.4,true,55,The Girl on the Train,2021,6165e0ee8a2fde8299a2d898
"Action,Adventure,Drama",8,true,55,Rurouni Kenshin: The Beginning,2021,6165e0ee8a2fde8299a2d8a1
Drama,6.6,true,55,One,2021,6165e0ee8a2fde8299a2d8a2
"Comedy,Drama",5.5,true,55,Dancing Queens,2021,6165e0ee8a2fde8299a2d8ac
"Biography,Crime,Drama,Romance",5.4,true,55,Madame Claude,2021,6165e0ee8a2fde8299a2d8cb
"Comedy,Drama",6.2,true,55,Have You Ever Seen Fireflies?,2021,6165e0ee8a2fde8299a2d8d1
Documentary,8.9,true,54,"In Our Mothers' Gardens",2021,6165e0ee8a2fde8299a2d8f3
"Drama,Romance,Sport",5.8,true,54,Caught by a Wave,2021,6165e0ee8a2fde8299a2d8fe
"Mystery,Thriller",5.8,true,54,Irul,2021,6165e0ee8a2fde8299a2d91d
Documentary,7.5,true,54,Héroes. Silencio y Rock & Roll,2021,6165e0ee8a2fde8299a2d923
"Drama,Romance",5.8,true,54,My Amanda,2021,6165e0ee8a2fde8299a2d927
"Drama,Thriller",7.3,true,53,Accomplice,2021,6165e0ee8a2fde8299a2d934
"Drama,Fantasy,Mystery,Thriller",5.6,true,53,Homunculus,2021,6165e0ee8a2fde8299a2d937
"Documentary,Biography,Sport",6.7,true,53,Tony Parker: The Final Shot,2021,6165e0ee8a2fde8299a2d946
"Comedy,Drama",6,true,53,Stuck Apart,2021,6165e0ee8a2fde8299a2d95f
"Action,Adventure,Crime,Thriller",6.3,true,53,Wild Dog,2021,6165e0ee8a2fde8299a2d96b
"Action,Adventure,Drama,Fantasy,Romance",6.4,true,52,The Yinyang Master,2021,6165e0ee8a2fde8299a2d99e
"Action,Drama,Romance",6.8,true,52,Uppena,2021,6165e0ee8a2fde8299a2d9a0
Comedy,3.9,true,52,Carnaval,2021,6165e0ee8a2fde8299a2d9ac
"Animation,Adventure,Comedy,Family,Musical",6.7,true,52,Arlo the Alligator Boy,2021,6165e0ee8a2fde8299a2d9c0
"Drama,Romance,Thriller",5.4,true,52,Ride or Die,2021,6165e0ee8a2fde8299a2d9c6
"Drama,Fantasy,Mystery,Sci-Fi",5.9,true,52,Super Me,2021,6165e0ee8a2fde8299a2d9ca
,,true,52,Creating an Army of the Dead,2021,6165e0ee8a2fde8299a2d9e0
"Comedy,Romance",4.5,true,52,Just Say Yes,2021,6165e0ee8a2fde8299a2d9e2
"Drama,Music,Romance",6.5,true,51,Wish You,2021,6165e0ee8a2fde8299a2d9f3
Comedy,6.7,true,51,Hate by Dani Rovira,2021,6165e0ee8a2fde8299a2da16
"Comedy,Romance",5,true,51,Squared Love,2021,6165e0ee8a2fde8299a2da1a
"Documentary,Crime,Mystery",6.8,true,51,Private Network: Who Killed Manuel Buendia,2021,6165e0ee8a2fde8299a2da20
Comedy,6.9,true,51,Brian Regan: On the Rocks,2021,6165e0ee8a2fde8299a2da2c
Documentary,8.9,true,51,7 Yards: The Chris Norton Story,2021,6165e0ee8a2fde8299a2da30
"Documentary,Short,Sport",5.3,true,51,Audible,2021,6165e0ee8a2fde8299a2da43
"Action,Crime,Sport",5.6,true,51,Bartkowiak,2021,6165e0ee8a2fde8299a2da44
"Documentary,Animation",7.6,true,50,Headspace: Unwind Your Mind,2021,6165e0ee8a2fde8299a2da65
"Comedy,Drama,Family",5.6,true,50,Double Dad,2021,6165e0ee8a2fde8299a2da6a
"Comedy,Romance",5.1,true,50,Trippin’ with the Kandasamys,2021,6165e0ee8a2fde8299a2da71
"Drama,Thriller",3.7,true,50,Deadly Illusions,2021,6165e0ee8a2fde8299a2da7b
Drama,7.3,true,50,The Tambour of Retribution,2021,6165e0ee8a2fde8299a2da9d
Documentary,5.1,true,50,Poeslief: een ode aan de kat,2021,6165e0ee8a2fde8299a2dab5
"Comedy,Horror",4.3,true,50,Roohi,2021,6165e0ee8a2fde8299a2dad3
Thriller,4.6,true,49,Family Seductions,2021,6165e0ee8a2fde8299a2dad8
"Drama,Romance",6.4,true,49,Layla Majnun,2021,6165e0ee8a2fde8299a2dae5
"Documentary,Biography",7.4,true,49,Amy Tan: Unintended Memoir,2021,6165e0ee8a2fde8299a2daeb
Drama,,true,49,African America,2021,6165e0ee8a2fde8299a2daf8
Documentary,5.2,true,49,"Strip Down, Rise Up",2021,6165e0ee8a2fde8299a2db00
